# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.7114697150e+01    7.9908304529e-02    1.2800281501e+02    1.2800000000e+02    0.0000000000e+00   -1.7105894961e+01    9.9311504855e-01    1.0000000000e+00
         1   -1.7135281203e+01    8.0096866196e-02    1.2800656102e+02    1.2800000000e+02    0.0000000000e+00   -1.7119095550e+01    9.9634707299e-01    1.0000000000e+00
         2   -1.7119945371e+01    7.9069365141e-02    1.2798839402e+02    1.2800000000e+02    0.0000000000e+00   -1.7145532533e+01    9.9061660188e-01    1.0000000000e+00
         3   -1.7140720597e+01    8.3779112524e-02    1.2801802325e+02    1.2800000000e+02    0.0000000000e+00   -1.7101810208e+01    9.9649874386e-01    1.0000000000e+00
         4   -1.7174601340e+01    9.7409327928e-02    1.2799273698e+02    1.2800000000e+02    0.0000000000e+00   -1.7168879938e+01    9.9811286399e-01    1.0000000000e+00
         5   -1.7188423344e+01    1.4277535796e-01    1.2801147544e+02    1.2800000000e+02    0.0000000000e+00   -1.7163252546e+01    9.9484085734e-01    1.0000000000e+00
         6   -1.7166390018e+01    1.2230708021e-01    1.2798138879e+02    1.2800000000e+02    0.0000000000e+00   -1.7206352922e+01    9.9293193982e-01    1.0000000000e+00
         7   -1.7146815738e+01    1.0317097159e-01    1.2801210844e+02    1.2800000000e+02    0.0000000000e+00   -1.7137307889e+01    1.0000000000e+00    1.0000000000e+00
         8   -1.7157574624e+01    7.8225510493e-02    1.2799123575e+02    1.2800000000e+02    0.0000000000e+00   -1.7165734282e+01    1.0000000000e+00    1.0000000000e+00
         9   -1.7170260670e+01    7.5073306168e-02    1.2801265316e+02    1.2800000000e+02    0.0000000000e+00   -1.7143880015e+01    9.9578166099e-01    1.0000000000e+00
        10   -1.7165086627e+01    6.9754939575e-02    1.2798564806e+02    1.2800000000e+02    0.0000000000e+00   -1.7190030262e+01    9.9700593401e-01    1.0000000000e+00
        11   -1.7156097763e+01    6.5737253978e-02    1.2801133353e+02    1.2800000000e+02    0.0000000000e+00   -1.7142660460e+01    9.9841236638e-01    1.0000000000e+00
        12   -1.7165231502e+01    6.9870180399e-02    1.2799152465e+02    1.2800000000e+02    0.0000000000e+00   -1.7173805612e+01    1.0000000000e+00    1.0000000000e+00
        13   -1.7179443426e+01    8.7522190004e-02    1.2801287166e+02    1.2800000000e+02    0.0000000000e+00   -1.7151988333e+01    9.9618670362e-01    1.0000000000e+00
        14   -1.7178392552e+01    9.6111552279e-02    1.2798671365e+02    1.2800000000e+02    0.0000000000e+00   -1.7199554380e+01    9.9823470107e-01    1.0000000000e+00
        15   -1.7171735839e+01    9.7343570931e-02    1.2801098189e+02    1.2800000000e+02    0.0000000000e+00   -1.7157631559e+01    9.9079935261e-01    1.0000000000e+00
        16   -1.7225506228e+01    1.2026172523e-01    1.2800604938e+02    1.2800000000e+02    0.0000000000e+00   -1.7188894307e+01    9.9634474105e-01    1.0000000000e+00
        17   -1.7232283893e+01    1.1051849368e-01    1.2799597114e+02    1.2800000000e+02    0.0000000000e+00   -1.7234958166e+01    9.9575134120e-01    1.0000000000e+00
        18   -1.7233566850e+01    9.2430346058e-02    1.2800427001e+02    1.2800000000e+02    0.0000000000e+00   -1.7225988703e+01    9.9879293468e-01    1.0000000000e+00
        19   -1.7220087590e+01    8.3657098029e-02    1.2799131600e+02    1.2800000000e+02    0.0000000000e+00   -1.7240238625e+01    9.9709216585e-01    1.0000000000e+00
        20   -1.7208243089e+01    1.0268028439e-01    1.2900565056e+02    1.2900000000e+02    2.5000000000e-01   -1.7206518385e+01    9.9233636865e-01    1.0000000000e+00
        21   -1.7241632298e+01    1.1487130603e-01    1.2800873296e+02    1.2900000000e+02    0.0000000000e+00   -1.8773431541e+01    9.9881328917e-01    9.9224806202e-01
        22   -1.7255253466e+01    1.6337225406e-01    1.2799491969e+02    1.2800000000e+02    2.5000000000e-01   -1.7255277079e+01    9.9795594363e-01    1.0000000000e+00
        23   -1.7271628805e+01    3.6342358789e-01    1.2800997765e+02    1.2800000000e+02    0.0000000000e+00   -1.7247315317e+01    9.9868648951e-01    1.0000000000e+00
        24   -1.7232565896e+01    9.8985921626e-02    1.2797724906e+02    1.2800000000e+02    0.0000000000e+00   -1.7287218280e+01    1.0000000000e+00    1.0000000000e+00
