#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7151471059e+01    2.9426766680e+02   -2.7787129458e+01    1.0635658399e+01   -5.1385109467e+01    1.3975341264e+00    1.5219682636e+01    6.9807632464e+00    1.2800173919e+03    7.2852500000e-02    9.9755859375e-01
         1   -1.7192743211e+01    2.9568061410e+02   -2.8435313109e+01    1.1242569899e+01   -5.2040530895e+01    1.1259982137e+00    1.5498456326e+01    6.9807632464e+00    1.2799966800e+03    6.9684208000e-02    9.9804687500e-01
         2   -1.7251673709e+01    2.9777683133e+02   -2.8854046441e+01    1.1602372732e+01   -5.2468738199e+01    9.3876150929e-01    1.5695167003e+01    6.9807632464e+00    1.2810289547e+03    6.5328583000e-02    9.9853744150e-01
         3   -1.7292905267e+01    2.9924039499e+02   -2.9177295915e+01    1.1884390648e+01   -5.3457141618e+01    1.4158826611e+00    1.5883199796e+01    6.9807632464e+00    1.2779652872e+03    6.7971833000e-02    9.9686520376e-01
         4   -1.7263490067e+01    2.9825526405e+02   -2.9327129565e+01    1.2063639497e+01   -5.3458837210e+01    1.2212953167e+00    1.5929649082e+01    6.9807632464e+00    1.2829800402e+03    6.3968417000e-02    9.9747278383e-01
         5   -1.7239043147e+01    2.9739833771e+02   -2.9248809472e+01    1.2009766325e+01   -5.3932268248e+01    1.5415610131e+00    1.6161134517e+01    6.9807632464e+00    1.2780023032e+03    6.3820792000e-02    9.9794440094e-01
         6   -1.7252985315e+01    2.9791843632e+02   -2.9214704635e+01    1.1961719320e+01   -5.4036881448e+01    1.5960169757e+00    1.6245396591e+01    6.9807632464e+00    1.2799675018e+03    6.4229125000e-02    9.9735915493e-01
         7   -1.7212916428e+01    2.9647287486e+02   -3.0371794538e+01    1.3158878110e+01   -5.4445236106e+01    9.5726490635e-01    1.6135413415e+01    6.9807632464e+00    1.2809945162e+03    6.3945458000e-02    9.9678487919e-01
         8   -1.7255538263e+01    2.9807532110e+02   -3.1362561407e+01    1.4107023144e+01   -5.5597974738e+01    9.0005722308e-01    1.6354592862e+01    6.9807632464e+00    1.2780037548e+03    6.6524375000e-02    9.9755285826e-01
         9   -1.7263336217e+01    2.9824900621e+02   -3.1178227332e+01    1.3914891115e+01   -5.5515091639e+01    9.2799592118e-01    1.6428105140e+01    6.9807632464e+00    1.2779624559e+03    7.1394375000e-02    9.9647058824e-01
        10   -1.7291421353e+01    2.9915772892e+02   -3.0191742889e+01    1.2900321536e+01   -5.5492604665e+01    1.9933556447e+00    1.6326742884e+01    6.9807632464e+00    1.2822903986e+03    6.9929042000e-02    9.9775741030e-01
        11   -1.7298881206e+01    2.9944369901e+02   -3.0025141343e+01    1.2726260136e+01   -5.4607246767e+01    1.3198504186e+00    1.6281491760e+01    6.9807632464e+00    1.2889789429e+03    6.4813667000e-02    9.9747866563e-01
        12   -1.7227217894e+01    2.9695436363e+02   -3.0248632553e+01    1.3021414658e+01   -5.5366968237e+01    1.8790713662e+00    1.6258501072e+01    6.9807632464e+00    1.2945923709e+03    6.7497417000e-02    9.9777992278e-01
        13   -1.7252144986e+01    2.9778032590e+02   -3.0659721377e+01    1.3407576391e+01   -5.6231228980e+01    2.2415493081e+00    1.6349195048e+01    6.9807632464e+00    1.3047417638e+03    6.6407416000e-02    9.9760536398e-01
        14   -1.7282975986e+01    2.9894157692e+02   -3.0749127558e+01    1.3466151572e+01   -5.6544995467e+01    2.3409335856e+00    1.6474171077e+01    6.9807632464e+00    1.2970056196e+03    6.5535250000e-02    9.9662683115e-01
        15   -1.7255925950e+01    2.9802696655e+02   -3.0936986524e+01    1.3681060574e+01   -5.7433747962e+01    2.8288056627e+00    1.6687192529e+01    6.9807632464e+00    1.2898923807e+03    6.4454333000e-02    9.9806201550e-01
