#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -4.4894217999e+01    2.0165749666e+03   -8.2816021818e+01    3.7921803819e+01   -2.3855249362e+01    2.4556991985e+00   -1.0313793574e+01   -5.1102678081e+01   -9.9838483785e+00    2.0000000000e+02    5.6580935700e-01    7.2128125000e-01
         1   -4.5010422880e+01    2.0269087882e+03   -8.2474816330e+01    3.7464393450e+01   -2.3884554408e+01    3.0777755268e+00   -1.0565359367e+01   -5.1102678081e+01   -1.0253381822e+01    2.0000000000e+02    5.5892472900e-01    7.2095312500e-01
         2   -4.4895418881e+01    2.0172196903e+03   -8.2035104388e+01    3.7139685507e+01   -2.3113137815e+01    2.5159658087e+00   -1.0335254301e+01   -5.1102678081e+01   -1.0008590739e+01    2.0000000000e+02    5.5800758400e-01    7.1906250000e-01
         3   -4.5015717303e+01    2.0277014139e+03   -8.0840627335e+01    3.5824910032e+01   -2.1859082652e+01    2.7825245921e+00   -1.0661391194e+01   -5.1102678081e+01   -1.0384145714e+01    2.0000000000e+02    5.5291675600e-01    7.2351562500e-01
         4   -4.4944561314e+01    2.0216909611e+03   -8.2795194479e+01    3.7850633165e+01   -2.5012868896e+01    3.5976672823e+00   -1.0277314784e+01   -5.1102678081e+01   -9.9405697799e+00    2.0000000000e+02    5.5153118400e-01    7.2056250000e-01
         5   -4.4755645392e+01    2.0042517133e+03   -8.1530463302e+01    3.6774817910e+01   -2.3070122694e+01    3.0280124028e+00   -1.0385674929e+01   -5.1102678081e+01   -1.0094585288e+01    2.0000000000e+02    5.5373403400e-01    7.2098437500e-01
         6   -4.5016706647e+01    2.0276827636e+03   -8.1943217425e+01    3.6926510778e+01   -2.3144862201e+01    3.0138868422e+00   -1.0709563985e+01   -5.1102678081e+01   -1.0403396606e+01    2.0000000000e+02    5.5141264000e-01    7.2323437500e-01
         7   -4.5029904934e+01    2.0288808869e+03   -8.1176149491e+01    3.6146244557e+01   -2.2829730276e+01    3.4807170335e+00   -1.0724458168e+01   -5.1102678081e+01   -1.0421340503e+01    2.0000000000e+02    5.5231519100e-01    7.1875000000e-01
         8   -4.5019083629e+01    2.0275645417e+03   -8.1177684305e+01    3.6158600677e+01   -2.1722714666e+01    2.4649699795e+00   -1.0817261538e+01   -5.1102678081e+01   -1.0519834417e+01    2.0000000000e+02    5.4812193800e-01    7.2221875000e-01
         9   -4.4926151455e+01    2.0197031688e+03   -8.2000278043e+01    3.7074126589e+01   -2.3372619743e+01    2.9135578090e+00   -1.0438538028e+01   -5.1102678081e+01   -1.0148829127e+01    2.0000000000e+02    5.5026858100e-01    7.2606250000e-01
        10   -4.4936811402e+01    2.0210188401e+03   -8.2035241365e+01    3.7098429962e+01   -2.3780291969e+01    3.0177753495e+00   -1.0170046664e+01   -5.1102678081e+01   -9.8475201639e+00    2.0000000000e+02    5.5407853200e-01    7.2032812500e-01
