#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -4.5060616773e+01    2.0317895231e+03   -8.2044284056e+01    3.6983667283e+01   -2.3161357341e+01    3.0965566412e+00   -1.0876805275e+01   -5.1102678081e+01   -1.0613930020e+01    5.1200000000e+02    2.2613618100e-01    7.1496582031e-01
         1   -4.4981043823e+01    2.0246871498e+03   -8.2527859511e+01    3.7546815688e+01   -2.3125072465e+01    2.7522443677e+00   -1.1052353333e+01   -5.1102678081e+01   -1.0771153847e+01    5.1200000000e+02    2.0316847400e-01    7.1826171875e-01
         2   -4.5036773718e+01    2.0304437703e+03   -8.2305733367e+01    3.7268959649e+01   -2.2738323279e+01    2.6737148763e+00   -1.1138446882e+01   -5.1102678081e+01   -1.0853979142e+01    5.1200000000e+02    2.0212439800e-01    7.1697998047e-01
         3   -4.5060933395e+01    2.0318147431e+03   -8.1490871385e+01    3.6429937991e+01   -2.2103189997e+01    3.0012329418e+00   -1.1286236249e+01   -5.1102678081e+01   -1.0999344379e+01    5.1200000000e+02    2.0138534200e-01    7.1929931641e-01
         4   -4.5014000989e+01    2.0275613448e+03   -8.2704052830e+01    3.7690051841e+01   -2.3359638548e+01    2.8477434841e+00   -1.1089479685e+01   -5.1102678081e+01   -1.0813954769e+01    5.1200000000e+02    2.0290447800e-01    7.1777343750e-01
         5   -4.5092718270e+01    2.0349937891e+03   -8.2092625378e+01    3.6999907108e+01   -2.3239248813e+01    3.4815823870e+00   -1.1232280871e+01   -5.1102678081e+01   -1.0975944481e+01    5.1200000000e+02    2.1086352500e-01    7.1547444661e-01
         6   -4.5044540384e+01    2.0304196844e+03   -8.1821660261e+01    3.6777119877e+01   -2.2670824031e+01    3.1075711349e+00   -1.1155729283e+01   -5.1102678081e+01   -1.0888630297e+01    5.1200000000e+02    2.0499755200e-01    7.1984863281e-01
         7   -4.5041183236e+01    2.0300046852e+03   -8.1900655557e+01    3.6859472322e+01   -2.2679586385e+01    2.9724194025e+00   -1.1090810494e+01   -5.1102678081e+01   -1.0828069299e+01    5.1200000000e+02    2.0238780700e-01    7.1518961589e-01
         8   -4.5001270353e+01    2.0263927263e+03   -8.2253366007e+01    3.7252095654e+01   -2.3096363455e+01    3.1291103574e+00   -1.1183434828e+01   -5.1102678081e+01   -1.0903940178e+01    5.1200000000e+02    2.0293809800e-01    7.1856689453e-01
         9   -4.5042129763e+01    2.0301366192e+03   -8.2732178659e+01    3.7690048897e+01   -2.3071998557e+01    2.5960031355e+00   -1.1153505156e+01   -5.1102678081e+01   -1.0877035334e+01    5.1200000000e+02    2.0574335500e-01    7.1986897786e-01
        10   -4.5099509005e+01    2.0354599934e+03   -8.2511862071e+01    3.7412353066e+01   -2.3636350308e+01    3.2559109277e+00   -1.1028744609e+01   -5.1102678081e+01   -1.0730155215e+01    5.1200000000e+02    2.0272749600e-01    7.1484375000e-01
        11   -4.5007635503e+01    2.0269312063e+03   -8.1484339334e+01    3.6476703832e+01   -2.2187259308e+01    3.0303247506e+00   -1.1224726696e+01   -5.1102678081e+01   -1.0940774337e+01    5.1200000000e+02    2.0412300500e-01    7.1730550130e-01
        12   -4.4980558751e+01    2.0247268852e+03   -8.2463367208e+01    3.7482808457e+01   -2.2838675500e+01    2.6938678873e+00   -1.1215881514e+01   -5.1102678081e+01   -1.0934655809e+01    5.1200000000e+02    2.0295122700e-01    7.1978759766e-01
        13   -4.4988919505e+01    2.0254572568e+03   -8.1901805783e+01    3.6912886278e+01   -2.2620321023e+01    3.0610324382e+00   -1.1239839117e+01   -5.1102678081e+01   -1.0969065204e+01    5.1200000000e+02    2.0305870600e-01    7.1909586589e-01
        14   -4.4995430251e+01    2.0259129203e+03   -8.2528888753e+01    3.7533458502e+01   -2.3337977219e+01    2.9269103802e+00   -1.1015143832e+01   -5.1102678081e+01   -1.0733242813e+01    5.1200000000e+02    2.0302268300e-01    7.2119140625e-01
