# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -4.5086091789e+01    1.6540537643e+00    5.1198725909e+02    5.1200000000e+02    0.0000000000e+00   -4.5090955326e+01    9.9361513888e-01    1.0000000000e+00
         1   -4.5144822553e+01    2.0434686579e+00    5.1214694345e+02    5.1200000000e+02    0.0000000000e+00   -4.5083603299e+01    9.9299262706e-01    9.9609375000e-01
         2   -4.5048843632e+01    1.5133458777e+00    5.0956792937e+02    5.1000000000e+02    5.0000000000e-01   -4.5173518328e+01    9.9342013871e-01    9.9411764706e-01
         3   -4.5072493894e+01    1.2925608866e+00    5.1451239559e+02    5.1200000000e+02    5.0000000000e-01   -4.4572698062e+01    9.9541832922e-01    9.9609375000e-01
         4   -4.5049088718e+01    1.3181414479e+00    5.1044085441e+02    5.1300000000e+02    2.5000000000e-01   -4.5561996138e+01    9.9144388753e-01    9.9805068226e-01
         5   -4.5130826785e+01    1.3049385924e+00    5.1475988592e+02    5.1300000000e+02    2.5000000000e-01   -4.4744103489e+01    9.9438946220e-01    9.9220272904e-01
         6   -4.5117666420e+01    1.4992532085e+00    5.1226631220e+02    5.1500000000e+02    7.5000000000e-01   -4.5668419382e+01    9.9323247241e-01    9.8446601942e-01
         7   -4.5113130387e+01    1.2522156974e+00    5.0673702105e+02    5.0700000000e+02    5.0000000000e-01   -4.5169666998e+01    9.9136234410e-01    9.9408284024e-01
         8   -4.5136271729e+01    1.1566790073e+00    5.1026515233e+02    5.0500000000e+02    2.5000000000e-01   -4.4079885171e+01    9.9441408404e-01    9.9801980198e-01
         9   -4.5098047265e+01    1.2892313761e+00    5.0861710432e+02    5.0700000000e+02    2.5000000000e-01   -4.4796858941e+01    9.9405029215e-01    1.0000000000e+00
        10   -4.5157529590e+01    1.3867491076e+00    5.1148765699e+02    5.0800000000e+02    2.5000000000e-01   -4.4435133024e+01    9.9369907425e-01    9.9803149606e-01
        11   -4.5192341420e+01    1.3286728595e+00    5.1058839356e+02    5.1000000000e+02    5.0000000000e-01   -4.5057412497e+01    9.9421514771e-01    9.9607843137e-01
        12   -4.5173264989e+01    1.3164435886e+00    5.1236069534e+02    5.1100000000e+02    5.0000000000e-01   -4.4916256273e+01    9.9523614652e-01    9.9804305284e-01
        13   -4.5125780015e+01    1.3442042499e+00    5.1352725221e+02    5.1400000000e+02    2.5000000000e-01   -4.5243688494e+01    9.9270861394e-01    9.9416342412e-01
        14   -4.5140389202e+01    1.3644488439e+00    5.1152052167e+02    5.1300000000e+02    5.0000000000e-01   -4.5423627457e+01    9.9390589178e-01    9.9415204678e-01
        15   -4.5142833331e+01    1.2233304349e+00    5.1147851232e+02    5.1100000000e+02    2.5000000000e-01   -4.5046697213e+01    9.9260694617e-01    9.9412915851e-01
        16   -4.5136954898e+01    1.2310310311e+00    5.1151179623e+02    5.1100000000e+02    2.5000000000e-01   -4.5040928364e+01    9.9407235248e-01    9.9412915851e-01
        17   -4.5091623612e+01    1.2299998947e+00    5.1038127809e+02    5.1000000000e+02    0.0000000000e+00   -4.5041557110e+01    9.9354652854e-01    9.9215686275e-01
        18   -4.5156052138e+01    1.2706316694e+00    5.0877621949e+02    5.0700000000e+02    5.0000000000e-01   -4.4774966158e+01    9.9363875108e-01    9.9802761341e-01
        19   -4.5203463671e+01    1.5682408377e+00    5.1334228167e+02    5.1000000000e+02    5.0000000000e-01   -4.4524416884e+01    9.9444789199e-01    9.9803921569e-01
        20   -4.5121327747e+01    1.2852556433e+00    5.0946136574e+02    5.1100000000e+02    5.0000000000e-01   -4.5465285009e+01    9.9597292884e-01    9.9021526419e-01
        21   -4.5115576499e+01    1.9897609657e+00    5.0800714714e+02    5.0800000000e+02    5.0000000000e-01   -4.5116357144e+01    9.9316301113e-01    9.9803149606e-01
        22   -4.5151079825e+01    1.3677233237e+00    5.0810530640e+02    5.0800000000e+02    0.0000000000e+00   -4.5110623015e+01    9.9291562964e-01    9.9606299213e-01
        23   -4.5101867307e+01    1.3897930049e+00    5.0802709222e+02    5.0800000000e+02    2.5000000000e-01   -4.5121692121e+01    9.9309313862e-01    9.9803149606e-01
        24   -4.5095858805e+01    1.3001570736e+00    5.0891471151e+02    5.0900000000e+02    2.5000000000e-01   -4.5114672997e+01    9.9232581749e-01    9.9214145383e-01
        25   -4.5267490349e+01    1.0615824600e+01    5.0700585519e+02    5.0700000000e+02    5.0000000000e-01   -4.5111097853e+01    9.9223139825e-01    1.0000000000e+00
        26   -4.5106917429e+01    1.2980431292e+00    5.0889966047e+02    5.0900000000e+02    2.5000000000e-01   -4.5132398016e+01    9.9264152724e-01    9.9017681729e-01
        27   -4.5068806545e+01    1.3886686392e+00    5.0480062299e+02    5.0500000000e+02    5.0000000000e-01   -4.5131085950e+01    9.9328876125e-01    1.0000000000e+00
        28   -4.5095850662e+01    1.4445950904e+00    5.0681432166e+02    5.0700000000e+02    5.0000000000e-01   -4.5114454484e+01    9.9385725513e-01    9.9605522682e-01
        29   -4.5104193318e+01    1.1287779624e+00    5.0490392163e+02    5.0500000000e+02    2.5000000000e-01   -4.5114795101e+01    9.9334483057e-01    1.0000000000e+00
        30   -4.5129882980e+01    1.3566774437e+00    5.0702754872e+02    5.0700000000e+02    5.0000000000e-01   -4.5108940381e+01    9.9170510537e-01    9.9211045365e-01
        31   -4.5112186458e+01    1.3282716367e+00    5.0503708911e+02    5.0500000000e+02    7.5000000000e-01   -4.5113772665e+01    9.9040254361e-01    9.9603960396e-01
        32   -4.5063249102e+01    1.2201628923e+00    5.0490331069e+02    5.0500000000e+02    2.5000000000e-01   -4.5108893739e+01    9.9194566231e-01    9.9801980198e-01
        33   -4.5092364241e+01    1.1610527570e+00    5.0687154740e+02    5.0700000000e+02    2.5000000000e-01   -4.5104064401e+01    9.9328063294e-01    9.9605522682e-01
        34   -4.5129837312e+01    1.3669030638e+00    5.0701890602e+02    5.0700000000e+02    2.5000000000e-01   -4.5106122365e+01    9.9419447262e-01    9.9408284024e-01
        35   -4.5099860613e+01    1.3343833428e+00    5.0805932766e+02    5.0800000000e+02    5.0000000000e-01   -4.5107322907e+01    9.9468914145e-01    9.9803149606e-01
        36   -4.5148458955e+01    1.2857973612e+00    5.1010369519e+02    5.1000000000e+02    2.5000000000e-01   -4.5108295427e+01    9.9274493957e-01    9.9607843137e-01
        37   -4.5116134316e+01    1.1721224419e+00    5.1010577542e+02    5.1000000000e+02    2.5000000000e-01   -4.5114219295e+01    9.9437903509e-01    9.9411764706e-01
        38   -4.5164095378e+01    1.3365170302e+00    5.0814323344e+02    5.0800000000e+02    2.5000000000e-01   -4.5114123619e+01    9.9297755524e-01    9.9606299213e-01
        39   -4.5228524062e+01    1.3310266785e+00    5.0841967866e+02    5.0800000000e+02    0.0000000000e+00   -4.5112703888e+01    9.9418191287e-01    1.0000000000e+00
        40   -4.5168447003e+01    1.7336254494e+00    5.0837123388e+02    5.0800000000e+02    0.0000000000e+00   -4.5118660716e+01    9.9290296411e-01    9.9409448819e-01
        41   -4.5115546398e+01    1.4689478385e+00    5.0712474915e+02    5.0700000000e+02    5.0000000000e-01   -4.5120602041e+01    9.9412318028e-01    9.8816568047e-01
        42   -4.5134395199e+01    1.3432143696e+00    5.0408022904e+02    5.0400000000e+02    2.5000000000e-01   -4.5117594007e+01    9.9190066806e-01    9.9603174603e-01
        43   -4.5084948785e+01    1.2697192167e+00    5.0298626107e+02    5.0300000000e+02    5.0000000000e-01   -4.5111886924e+01    9.9256893013e-01    9.9801192843e-01
        44   -4.5108508263e+01    1.3808228419e+00    5.0393101027e+02    5.0400000000e+02    2.5000000000e-01   -4.5107942368e+01    9.9229245396e-01    9.9404761905e-01
        45   -4.5141482881e+01    1.1508660392e+00    5.0106941517e+02    5.0100000000e+02    2.5000000000e-01   -4.5109131051e+01    9.9305844800e-01    1.0000000000e+00
        46   -4.5200963116e+01    1.2347264839e+00    5.0130939116e+02    5.0100000000e+02    0.0000000000e+00   -4.5104069652e+01    9.9223936389e-01    9.9600798403e-01
        47   -4.5158040093e+01    1.1420031086e+00    5.0138276521e+02    5.0100000000e+02    2.5000000000e-01   -4.5107337853e+01    9.9321987694e-01    9.9600798403e-01
        48   -4.5175077442e+01    1.6099152444e+00    5.0229487702e+02    5.0200000000e+02    2.5000000000e-01   -4.5108541388e+01    9.9311372348e-01    9.9800796813e-01
        49   -4.5196962044e+01    1.6801449508e+00    5.0438094605e+02    5.0400000000e+02    5.0000000000e-01   -4.5111930695e+01    9.9211706074e-01    9.8809523810e-01
        50   -4.5183695474e+01    1.5303500813e+00    5.0339560706e+02    5.0300000000e+02    2.5000000000e-01   -4.5118271641e+01    9.9217148149e-01    9.9005964215e-01
        51   -4.5183717658e+01    1.3344284546e+00    5.0135933226e+02    5.0100000000e+02    5.0000000000e-01   -4.5117942976e+01    9.9136307398e-01    9.9600798403e-01
        52   -4.5192206060e+01    1.1852456814e+00    4.9934015747e+02    4.9900000000e+02    2.5000000000e-01   -4.5115415520e+01    9.9221012319e-01    9.8997995992e-01
        53   -4.5198204676e+01    1.4076996962e+00    4.9842178835e+02    4.9800000000e+02    5.0000000000e-01   -4.5113070563e+01    9.9318402907e-01    9.9196787149e-01
        54   -4.5225724988e+01    1.4087256219e+00    4.9852240060e+02    4.9800000000e+02    2.5000000000e-01   -4.5112997264e+01    9.9232982983e-01    9.9397590361e-01
        55   -4.5250073994e+01    1.3671912049e+00    5.0165655024e+02    5.0100000000e+02    7.5000000000e-01   -4.5115651956e+01    9.9153059248e-01    1.0000000000e+00
