#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -4.5820865211e+01    2.1010362594e+03   -8.0958201916e+01    3.5137336705e+01   -2.2048300173e+01    3.6358587508e+00   -1.1443082413e+01   -5.1102678081e+01   -1.1172192356e+01    5.1200000000e+02    1.0455712430e+00    7.2814941406e-01
         1   -4.5819178050e+01    2.1006265882e+03   -8.1493639689e+01    3.5674461638e+01   -2.1640429498e+01    2.7383168197e+00   -1.1488848929e+01   -5.1102678081e+01   -1.1223853041e+01    5.1200000000e+02    1.0823803690e+00    7.2969563802e-01
         2   -4.5811407039e+01    2.0999940533e+03   -8.0346980883e+01    3.4535573844e+01   -2.1253254450e+01    3.4495339411e+00   -1.1440582293e+01   -5.1102678081e+01   -1.1163970643e+01    5.1200000000e+02    1.0384258300e+00    7.2619628906e-01
         3   -4.5849201938e+01    2.1035506704e+03   -8.0896819332e+01    3.5047617394e+01   -2.1583396915e+01    3.4711241614e+00   -1.1681868497e+01   -5.1102678081e+01   -1.1424591427e+01    5.1200000000e+02    1.0349050060e+00    7.2515869141e-01
         4   -4.5771177551e+01    2.0962529790e+03   -8.0618522486e+01    3.4847344935e+01   -2.0661665731e+01    2.9055019906e+00   -1.1759680664e+01   -5.1102678081e+01   -1.1491377539e+01    5.1200000000e+02    1.0351266830e+00    7.2705078125e-01
         5   -4.5948621289e+01    2.1130914861e+03   -7.9816210283e+01    3.3867588994e+01   -2.0223110196e+01    3.0930888350e+00   -1.1583510842e+01   -5.1102678081e+01   -1.1292363212e+01    5.1200000000e+02    1.0361167770e+00    7.3063151042e-01
         6   -4.5848073725e+01    2.1033568021e+03   -8.1133627502e+01    3.5285553776e+01   -2.1381335008e+01    2.9945215164e+00   -1.1644135929e+01   -5.1102678081e+01   -1.1366827448e+01    5.1200000000e+02    1.0716876810e+00    7.2328694661e-01
         7   -4.5721162888e+01    2.0917544251e+03   -8.0437189161e+01    3.4716026273e+01   -2.1585457793e+01    3.5877705971e+00   -1.1336823884e+01   -5.1102678081e+01   -1.1053351253e+01    5.1200000000e+02    1.0627057840e+00    7.2766113281e-01
         8   -4.5812441158e+01    2.1000055971e+03   -8.0830117795e+01    3.5017676636e+01   -2.1305985431e+01    2.9746126058e+00   -1.1396066889e+01   -5.1102678081e+01   -1.1103353280e+01    5.1200000000e+02    1.0862023200e+00    7.2873942057e-01
         9   -4.5872270176e+01    2.1055846633e+03   -8.0338601580e+01    3.4466331404e+01   -2.1121744776e+01    3.3511629008e+00   -1.1465341624e+01   -5.1102678081e+01   -1.1185763893e+01    5.1200000000e+02    1.0900914250e+00    7.3089599609e-01
        10   -4.5846962691e+01    2.1031648148e+03   -8.0246142343e+01    3.4399179652e+01   -2.0757734838e+01    3.0951876329e+00   -1.1480917056e+01   -5.1102678081e+01   -1.1206884151e+01    5.1200000000e+02    1.0706591130e+00    7.2719319661e-01
        11   -4.5777617362e+01    2.0968428544e+03   -7.9584464999e+01    3.3806847637e+01   -2.0636128462e+01    3.5281415092e+00   -1.1373799965e+01   -5.1102678081e+01   -1.1059854247e+01    5.1200000000e+02    1.0609220390e+00    7.2981770833e-01
        12   -4.5802193075e+01    2.0992041574e+03   -7.9841935957e+01    3.4039742882e+01   -2.0919054792e+01    3.5173751793e+00   -1.1337578264e+01   -5.1102678081e+01   -1.1047189576e+01    5.1200000000e+02    1.0328229560e+00    7.2664388021e-01
        13   -4.5834609901e+01    2.1021602040e+03   -8.0681065663e+01    3.4846455762e+01   -2.0943521708e+01    2.9390117504e+00   -1.1573877624e+01   -5.1102678081e+01   -1.1296204177e+01    5.1200000000e+02    1.0608979690e+00    7.2601318359e-01
        14   -4.5805065140e+01    2.0993107089e+03   -8.0139551897e+01    3.4334486758e+01   -2.0963178394e+01    3.5355018810e+00   -1.1609197303e+01   -5.1102678081e+01   -1.1325552560e+01    5.1200000000e+02    1.0470052970e+00    7.3345947266e-01
        15   -4.5817958841e+01    2.1005758548e+03   -8.0387286520e+01    3.4569327679e+01   -2.1247532030e+01    3.6732082942e+00   -1.1710284703e+01   -5.1102678081e+01   -1.1437635829e+01    5.1200000000e+02    1.0358221890e+00    7.2859700521e-01
        16   -4.5827302803e+01    2.1014632002e+03   -8.0380085367e+01    3.4552782563e+01   -2.1048167201e+01    3.4240621729e+00   -1.1653302257e+01   -5.1102678081e+01   -1.1385839995e+01    5.1200000000e+02    1.0225313440e+00    7.2757975260e-01
        17   -4.5842451341e+01    2.1027783783e+03   -8.0712279121e+01    3.4869827780e+01   -2.1182049632e+01    3.1668088647e+00   -1.1594360273e+01   -5.1102678081e+01   -1.1321131451e+01    5.1200000000e+02    1.0162701030e+00    7.2993977865e-01
        18   -4.5905625009e+01    2.1088527765e+03   -8.0748729365e+01    3.4843104356e+01   -2.1054717241e+01    2.9601871015e+00   -1.1551521144e+01   -5.1102678081e+01   -1.1281695752e+01    5.1200000000e+02    1.0141145580e+00    7.2904459635e-01
        19   -4.5928350755e+01    2.1112500326e+03   -8.0575116142e+01    3.4646765387e+01   -2.1533908079e+01    3.5839765144e+00   -1.1522506496e+01   -5.1102678081e+01   -1.1249123270e+01    5.1200000000e+02    1.0329881410e+00    7.2412109375e-01
        20   -4.5812467556e+01    2.1004034240e+03   -8.0720309076e+01    3.4907841520e+01   -2.1653224226e+01    3.7327988885e+00   -1.1697205657e+01   -5.1102678081e+01   -1.1420236586e+01    5.1200000000e+02    1.0171664530e+00    7.2792561849e-01
        21   -4.5818416216e+01    2.1006222267e+03   -8.0657232851e+01    3.4838816635e+01   -2.1517990998e+01    3.6738082452e+00   -1.1710372017e+01   -5.1102678081e+01   -1.1437481726e+01    5.1200000000e+02    1.0242745870e+00    7.2949218750e-01
