# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -4.5728849470e+01    1.1393623684e+00    5.1187774260e+02    5.1200000000e+02    0.0000000000e+00   -4.5777051497e+01    9.9257924478e-01    1.0000000000e+00
         1   -4.5852790151e+01    3.0066866988e+00    5.1230288062e+02    5.1200000000e+02    0.0000000000e+00   -4.5704968221e+01    9.9292351400e-01    9.9218750000e-01
         2   -4.5962617547e+01    1.4567577657e+00    5.1210667768e+02    5.1200000000e+02    0.0000000000e+00   -4.5911929032e+01    9.9389839762e-01    9.9804687500e-01
         3   -4.5896220403e+01    1.2163004942e+00    5.1070340785e+02    5.1100000000e+02    0.0000000000e+00   -4.5983450861e+01    9.9302724689e-01    9.9217221135e-01
         4   -4.5925872370e+01    1.6970797275e+00    5.1037947509e+02    5.0900000000e+02    0.0000000000e+00   -4.5642658551e+01    9.9306306556e-01    9.9803536346e-01
         5   -4.5897790547e+01    1.6304575002e+00    5.1255215810e+02    5.1100000000e+02    0.0000000000e+00   -4.5608861651e+01    9.9217032308e-01    1.0000000000e+00
         6   -4.5945234833e+01    1.3300422912e+00    5.1658030589e+02    5.1700000000e+02    0.0000000000e+00   -4.6005575817e+01    9.9518015397e-01    9.9613152805e-01
         7   -4.5920049660e+01    1.2745026899e+00    5.1336745487e+02    5.1800000000e+02    0.0000000000e+00   -4.6835848067e+01    9.9304380467e-01    9.9227799228e-01
         8   -4.5900613155e+01    1.3601076159e+00    5.1258701625e+02    5.1400000000e+02    0.0000000000e+00   -4.6186774661e+01    9.9438949635e-01    9.9027237354e-01
         9   -4.5848594105e+01    1.2043203945e+00    5.0828386398e+02    5.0900000000e+02    0.0000000000e+00   -4.6015199093e+01    9.9292110567e-01    9.9803536346e-01
        10   -4.5833454641e+01    1.1904777477e+00    5.1365150609e+02    5.1000000000e+02    0.0000000000e+00   -4.5120139489e+01    9.9500512749e-01    1.0000000000e+00
        11   -4.5855677606e+01    1.1954402084e+00    5.1141251072e+02    5.1300000000e+02    0.0000000000e+00   -4.6155495316e+01    9.9450014780e-01    9.9610136452e-01
        12   -4.5940454317e+01    1.3252653670e+00    5.1379706112e+02    5.1300000000e+02    0.0000000000e+00   -4.5740867725e+01    9.9375268672e-01    1.0000000000e+00
        13   -4.5884513962e+01    1.4140710868e+00    5.1608434285e+02    5.1800000000e+02    0.0000000000e+00   -4.6290828290e+01    9.9584278330e-01    9.9227799228e-01
        14   -4.5866103225e+01    1.3389208048e+00    5.1089285887e+02    5.1500000000e+02    0.0000000000e+00   -4.6679072184e+01    9.9450532566e-01    9.8834951456e-01
        15   -4.5895925717e+01    1.2888808034e+00    5.1018063959e+02    5.0900000000e+02    0.0000000000e+00   -4.5649630590e+01    9.9459852667e-01    1.0000000000e+00
        16   -4.5833865805e+01    1.5165380244e+00    5.1162439276e+02    5.1000000000e+02    0.0000000000e+00   -4.5539949041e+01    9.9482265145e-01    9.9803921569e-01
        17   -4.5857680406e+01    1.4108385654e+00    5.1142595534e+02    5.1100000000e+02    0.0000000000e+00   -4.5760478094e+01    9.9328252975e-01    9.9608610568e-01
        18   -4.5863792129e+01    1.4133101581e+00    5.1158170377e+02    5.1100000000e+02    0.0000000000e+00   -4.5745499410e+01    9.9478792087e-01    9.9608610568e-01
        19   -4.5911814238e+01    1.8213521561e+00    5.1152596856e+02    5.1100000000e+02    0.0000000000e+00   -4.5782060256e+01    9.9422674290e-01    1.0000000000e+00
        20   -4.5918543263e+01    1.3294943256e+00    5.1246196500e+02    5.1200000000e+02    0.0000000000e+00   -4.5819187087e+01    9.9362510850e-01    9.9609375000e-01
        21   -4.5893922021e+01    1.2473687356e+00    5.1191983097e+02    5.1200000000e+02    0.0000000000e+00   -4.5919445132e+01    9.9236387757e-01    9.9414062500e-01
        22   -4.5892542745e+01    1.5515012212e+00    5.1393629662e+02    5.1400000000e+02    0.0000000000e+00   -4.5906076050e+01    9.9351515166e-01    1.0000000000e+00
        23   -4.5890065512e+01    1.5046936025e+00    5.1690803244e+02    5.1700000000e+02    0.0000000000e+00   -4.5905444039e+01    9.9273018159e-01    9.9613152805e-01
        24   -4.5939843843e+01    1.4475273590e+00    5.1904638526e+02    5.1900000000e+02    0.0000000000e+00   -4.5908308732e+01    9.9388531752e-01    9.9421965318e-01
        25   -4.5959775719e+01    1.3944882842e+00    5.2219309788e+02    5.2200000000e+02    0.0000000000e+00   -4.5920652105e+01    9.9580127877e-01    9.9616858238e-01
        26   -4.5925019226e+01    1.9288595547e+00    5.2101162490e+02    5.2100000000e+02    0.0000000000e+00   -4.5935494998e+01    9.9338881058e-01    9.9616122841e-01
        27   -4.5957888032e+01    1.4234165742e+00    5.2204100390e+02    5.2200000000e+02    0.0000000000e+00   -4.5934549491e+01    9.9462445590e-01    9.9616858238e-01
        28   -4.5980150962e+01    1.5297805473e+00    5.2314298941e+02    5.2300000000e+02    0.0000000000e+00   -4.5941621557e+01    9.9327658983e-01    9.9808795411e-01
        29   -4.5983345785e+01    1.5215341795e+00    5.2418870981e+02    5.2400000000e+02    0.0000000000e+00   -4.5950169240e+01    9.9274707644e-01    1.0000000000e+00
        30   -4.6010653592e+01    1.4130906001e+00    5.2820462015e+02    5.2800000000e+02    0.0000000000e+00   -4.5957636839e+01    9.9420151465e-01    1.0000000000e+00
        31   -4.5903888978e+01    1.5037812007e+00    5.2991769321e+02    5.3000000000e+02    0.0000000000e+00   -4.5972227367e+01    9.9270176301e-01    9.9811320755e-01
        32   -4.5929046817e+01    1.6601456565e+00    5.3171917924e+02    5.3200000000e+02    0.0000000000e+00   -4.5972367047e+01    9.9430530939e-01    9.9624060150e-01
        33   -4.5952021214e+01    1.4010655629e+00    5.2981287479e+02    5.3000000000e+02    0.0000000000e+00   -4.5975074443e+01    9.9499426811e-01    9.9622641509e-01
        34   -4.5897154042e+01    1.4153207058e+00    5.3177965832e+02    5.3200000000e+02    0.0000000000e+00   -4.5972535518e+01    9.9448758170e-01    9.9624060150e-01
        35   -4.5874824863e+01    1.3321162559e+00    5.3052806232e+02    5.3100000000e+02    0.0000000000e+00   -4.5973495386e+01    9.9353122778e-01    9.8870056497e-01
        36   -4.5882092506e+01    1.8813187218e+00    5.2555520294e+02    5.2600000000e+02    0.0000000000e+00   -4.5967341143e+01    9.9536145504e-01    9.9809885932e-01
        37   -4.5939155303e+01    1.4077006753e+00    5.2777276278e+02    5.2800000000e+02    0.0000000000e+00   -4.5954999968e+01    9.9461278711e-01    9.9242424242e-01
        38   -4.5928947228e+01    1.5163516710e+00    5.2587348584e+02    5.2600000000e+02    0.0000000000e+00   -4.5959781994e+01    9.9289988843e-01    9.9049429658e-01
        39   -4.5921731803e+01    1.3449744096e+00    5.2185880924e+02    5.2200000000e+02    0.0000000000e+00   -4.5956150861e+01    9.9332338513e-01    9.9616858238e-01
        40   -4.5863560251e+01    1.3458540368e+00    5.2170221105e+02    5.2200000000e+02    0.0000000000e+00   -4.5948103119e+01    9.9313089041e-01    9.9425287356e-01
        41   -4.5867030848e+01    1.2685397626e+00    5.1957907116e+02    5.2000000000e+02    0.0000000000e+00   -4.5944685357e+01    9.9189151988e-01    9.9423076923e-01
        42   -4.5899425198e+01    1.2376957672e+00    5.2173339829e+02    5.2200000000e+02    0.0000000000e+00   -4.5937930951e+01    9.9564251827e-01    9.9616858238e-01
        43   -4.5877456735e+01    1.2856890659e+00    5.2070923499e+02    5.2100000000e+02    0.0000000000e+00   -4.5941033395e+01    9.9477876239e-01    9.9424184261e-01
        44   -4.5890554236e+01    1.4375947584e+00    5.1871146511e+02    5.1900000000e+02    0.0000000000e+00   -4.5937204108e+01    9.9536266476e-01    9.9807321773e-01
        45   -4.5871212009e+01    1.4963121357e+00    5.2072353519e+02    5.2100000000e+02    0.0000000000e+00   -4.5932168789e+01    9.9317837383e-01    9.9808061420e-01
        46   -4.5923344239e+01    1.3541374428e+00    5.2180564173e+02    5.2200000000e+02    0.0000000000e+00   -4.5934196661e+01    9.9318498507e-01    9.9042145594e-01
        47   -4.5912932280e+01    1.3768474240e+00    5.1891767681e+02    5.1900000000e+02    0.0000000000e+00   -4.5936496373e+01    9.9554510748e-01    9.9036608863e-01
        48   -4.5962294571e+01    1.4289663758e+00    5.1505326641e+02    5.1500000000e+02    0.0000000000e+00   -4.5930782386e+01    9.9537098871e-01    1.0000000000e+00
        49   -4.5938680269e+01    1.3296018421e+00    5.1811578603e+02    5.1800000000e+02    0.0000000000e+00   -4.5924856867e+01    9.9252431444e-01    9.9420849421e-01
        50   -4.5978492062e+01    1.1056867376e+00    5.2017843788e+02    5.2000000000e+02    0.0000000000e+00   -4.5931444254e+01    9.9432793466e-01    1.0000000000e+00
        51   -4.5994624183e+01    1.2923458197e+00    5.2324834288e+02    5.2300000000e+02    0.0000000000e+00   -4.5937318121e+01    9.9249360940e-01    9.9808795411e-01
        52   -4.6020150063e+01    1.2185811730e+00    5.2431891721e+02    5.2400000000e+02    0.0000000000e+00   -4.5945488455e+01    9.9511317584e-01    9.9427480916e-01
        53   -4.5981381506e+01    1.3415205700e+00    5.2225590091e+02    5.2200000000e+02    0.0000000000e+00   -4.5950453386e+01    9.9312862410e-01    1.0000000000e+00
        54   -4.6031096395e+01    1.4029709028e+00    5.2327546844e+02    5.2300000000e+02    0.0000000000e+00   -4.5948119895e+01    9.9376279612e-01    9.9808795411e-01
        55   -4.5944059378e+01    1.1072074832e+00    5.2317132699e+02    5.2300000000e+02    0.0000000000e+00   -4.5953007646e+01    9.9397168478e-01    9.9235181644e-01
        56   -4.5943826969e+01    1.2073031393e+00    5.2197771422e+02    5.2200000000e+02    0.0000000000e+00   -4.5953165139e+01    9.9139037818e-01    9.9425287356e-01
        57   -4.5908121252e+01    1.0589925696e+00    5.2188157425e+02    5.2200000000e+02    0.0000000000e+00   -4.5951212016e+01    9.9415336804e-01    1.0000000000e+00
        58   -4.5901762102e+01    1.0853373724e+00    5.2174008015e+02    5.2200000000e+02    0.0000000000e+00   -4.5950401749e+01    9.9452496036e-01    9.9616858238e-01
        59   -4.5964273101e+01    1.3239701290e+00    5.2089872592e+02    5.2100000000e+02    0.0000000000e+00   -4.5949373575e+01    9.9431461835e-01    9.9808061420e-01
        60   -4.5918126701e+01    1.4322440145e+00    5.2193895900e+02    5.2200000000e+02    0.0000000000e+00   -4.5948603291e+01    9.9291883034e-01    9.9425287356e-01
        61   -4.5932845986e+01    1.4740667676e+00    5.1886023512e+02    5.1900000000e+02    0.0000000000e+00   -4.5950275234e+01    9.9488128358e-01    1.0000000000e+00
        62   -4.5944441239e+01    1.3688665250e+00    5.2194473732e+02    5.2200000000e+02    0.0000000000e+00   -4.5944401920e+01    9.9437347960e-01    9.9233716475e-01
        63   -4.5941988264e+01    1.3017143995e+00    5.2301333367e+02    5.2300000000e+02    0.0000000000e+00   -4.5950639533e+01    9.9470222093e-01    9.9808795411e-01
        64   -4.5998935182e+01    1.2267804030e+00    5.2309420451e+02    5.2300000000e+02    0.0000000000e+00   -4.5952925363e+01    9.9313109193e-01    9.9808795411e-01
        65   -4.6010706770e+01    1.5584740978e+00    5.2424643202e+02    5.2400000000e+02    0.0000000000e+00   -4.5954575357e+01    9.9272707396e-01    9.9045801527e-01
        66   -4.5972536624e+01    1.6036671022e+00    5.2219500765e+02    5.2200000000e+02    0.0000000000e+00   -4.5958461918e+01    9.9376273170e-01    9.9233716475e-01
        67   -4.5970962072e+01    1.4151799917e+00    5.2314598209e+02    5.2300000000e+02    0.0000000000e+00   -4.5955343532e+01    9.9315590960e-01    9.9617590822e-01
        68   -4.5940093082e+01    1.3927480353e+00    5.2403030066e+02    5.2400000000e+02    0.0000000000e+00   -4.5957899132e+01    9.9325652128e-01    9.9236641221e-01
        69   -4.5950599463e+01    1.2903427534e+00    5.2193890460e+02    5.2200000000e+02    0.0000000000e+00   -4.5959664210e+01    9.9447670881e-01    9.9616858238e-01
        70   -4.5928679165e+01    1.4089064533e+00    5.2190307741e+02    5.2200000000e+02    0.0000000000e+00   -4.5955948445e+01    9.9334262188e-01    9.9042145594e-01
        71   -4.5982690301e+01    1.3786967189e+00    5.2305174005e+02    5.2300000000e+02    0.0000000000e+00   -4.5955722087e+01    9.9438969392e-01    9.9617590822e-01
        72   -4.5992571935e+01    1.3256697441e+00    5.2213861052e+02    5.2200000000e+02    0.0000000000e+00   -4.5958807609e+01    9.9395182790e-01    9.9808429119e-01
        73   -4.5969043953e+01    1.5074257743e+00    5.2611946811e+02    5.2600000000e+02    0.0000000000e+00   -4.5958100312e+01    9.9262202451e-01    9.9619771863e-01
        74   -4.5988259291e+01    1.0713437582e+00    5.2404491109e+02    5.2400000000e+02    0.0000000000e+00   -4.5966261314e+01    9.9282326923e-01    9.9809160305e-01
        75   -4.5988418315e+01    1.3973108675e+00    5.2713610625e+02    5.2700000000e+02    0.0000000000e+00   -4.5963204966e+01    9.9531768027e-01    9.9810246679e-01
        76   -4.5955722877e+01    1.2949044355e+00    5.2700185571e+02    5.2700000000e+02    0.0000000000e+00   -4.5969951825e+01    9.9332721288e-01    9.9810246679e-01
