#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -5.2626699051e+01    2.7709248496e+03   -7.3558684529e+01    2.0931985478e+01   -1.8067445452e+01    7.0374627005e+00   -8.8548378599e+00   -5.3673863918e+01    2.2848000000e+04    1.3739871600e-01    6.5739395133e-01
         1   -5.2620964231e+01    2.7703424212e+03   -7.3472385502e+01    2.0851421271e+01   -1.8043460091e+01    7.1175840072e+00   -8.8726455001e+00   -5.3673863918e+01    2.2848000000e+04    1.5183218500e-01    6.5744238008e-01
         2   -5.2621222830e+01    2.7703844317e+03   -7.3535880214e+01    2.0914657384e+01   -1.8089784396e+01    7.0652065240e+00   -8.8374384241e+00   -5.3673863918e+01    2.2848000000e+04    1.7106055100e-01    6.5745187763e-01
         3   -5.2630780304e+01    2.7713696534e+03   -7.3492144325e+01    2.0861364021e+01   -1.8078730954e+01    7.0969147017e+00   -8.8364641544e+00   -5.3673863918e+01    2.2848000000e+04    1.5573730000e-01    6.5764972864e-01
         4   -5.2623867189e+01    2.7706364286e+03   -7.3486242067e+01    2.0862374878e+01   -1.8046662736e+01    7.0836069721e+00   -8.8493223852e+00   -5.3673863918e+01    2.2848000000e+04    1.3741711700e-01    6.5759158351e-01
         5   -5.2629151303e+01    2.7712338293e+03   -7.3477468107e+01    2.0848316804e+01   -1.8030264101e+01    7.0687002224e+00   -8.8420403108e+00   -5.3673863918e+01    2.2848000000e+04    1.4083495900e-01    6.5751984856e-01
         6   -5.2626782427e+01    2.7710025491e+03   -7.3545054941e+01    2.0918272514e+01   -1.8135198151e+01    7.1136406551e+00   -8.8496335267e+00   -5.3673863918e+01    2.2848000000e+04    1.5433437000e-01    6.5761607143e-01
         7   -5.2620954177e+01    2.7703396177e+03   -7.3536144249e+01    2.0915190072e+01   -1.8085891190e+01    7.0709362512e+00   -8.8473253922e+00   -5.3673863918e+01    2.2848000000e+04    1.4390042600e-01    6.5757858456e-01
         8   -5.2624139286e+01    2.7706792691e+03   -7.3494034780e+01    2.0869895494e+01   -1.8059995589e+01    7.0943600150e+00   -8.8545352878e+00   -5.3673863918e+01    2.2848000000e+04    1.5248998700e-01    6.5748960522e-01
         9   -5.2620287393e+01    2.7702690388e+03   -7.3515605861e+01    2.0895318468e+01   -1.8055250979e+01    7.0626314340e+00   -8.8491223985e+00   -5.3673863918e+01    2.2848000000e+04    1.4744087100e-01    6.5755339636e-01
