#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -5.2631920514e+01    2.7714754273e+03   -7.3549541976e+01    2.0917621463e+01   -1.8098302167e+01    7.0971010014e+00   -8.8744768933e+00   -5.3673863918e+01   -8.8010626475e+00    1.0240000000e+05    1.2863561300e+00    8.9191113281e-01
         1   -5.2623683810e+01    2.7706298864e+03   -7.3531071987e+01    2.0907388176e+01   -1.8121467463e+01    7.1109952700e+00   -8.8467358761e+00   -5.3673863918e+01   -8.7734364080e+00    1.0240000000e+05    1.4755261200e-01    8.9174316406e-01
         2   -5.2638643029e+01    2.7721769284e+03   -7.3531779078e+01    2.0893136048e+01   -1.8138227484e+01    7.1205453483e+00   -8.8402330244e+00   -5.3673863918e+01   -8.7651997679e+00    1.0240000000e+05    1.3981120500e-01    8.9186157227e-01
         3   -5.2638167470e+01    2.7721238700e+03   -7.3516032699e+01    2.0877865229e+01   -1.8104381625e+01    7.1447472915e+00   -8.8825344476e+00   -5.3673863918e+01   -8.8029553048e+00    1.0240000000e+05    1.3867500900e-01    8.9172021484e-01
         4   -5.2629721946e+01    2.7712358218e+03   -7.3493903381e+01    2.0864181435e+01   -1.8010984830e+01    7.0721644007e+00   -8.8812190343e+00   -5.3673863918e+01   -8.8034954424e+00    1.0240000000e+05    1.4029547000e-01    8.9209521484e-01
         5   -5.2627067342e+01    2.7709727879e+03   -7.3489536995e+01    2.0862469652e+01   -1.8049812211e+01    7.1112683975e+00   -8.8771292633e+00   -5.3673863918e+01   -8.8034683826e+00    1.0240000000e+05    1.4103268600e-01    8.9193627930e-01
         6   -5.2621030065e+01    2.7703530471e+03   -7.3459902224e+01    2.0838872159e+01   -1.8024722113e+01    7.1078280434e+00   -8.8691442368e+00   -5.3673863918e+01   -8.7966521189e+00    1.0240000000e+05    1.4005101900e-01    8.9189355469e-01
         7   -5.2629357172e+01    2.7712111544e+03   -7.3511637826e+01    2.0882280654e+01   -1.8117714718e+01    7.1267770874e+00   -8.8468362780e+00   -5.3673863918e+01   -8.7716375628e+00    1.0240000000e+05    1.3875638400e-01    8.9182421875e-01
         8   -5.2620701857e+01    2.7702871077e+03   -7.3502745582e+01    2.0882043725e+01   -1.8064064175e+01    7.1087344013e+00   -8.8735518912e+00   -5.3673863918e+01   -8.7956986592e+00    1.0240000000e+05    1.3886283800e-01    8.9135205078e-01
         9   -5.2625650237e+01    2.7708226571e+03   -7.3556172728e+01    2.0930522491e+01   -1.8102623163e+01    7.0798443187e+00   -8.8595299665e+00   -5.3673863918e+01   -8.7852611665e+00    1.0240000000e+05    1.4004630800e-01    8.9174633789e-01
        10   -5.2633652698e+01    2.7716558160e+03   -7.3554366232e+01    2.0920713534e+01   -1.8127127521e+01    7.1005353754e+00   -8.8539101682e+00   -5.3673863918e+01   -8.7776633268e+00    1.0240000000e+05    1.4007573100e-01    8.9180859375e-01
        11   -5.2627862198e+01    2.7710483325e+03   -7.3521762711e+01    2.0893900514e+01   -1.8077385608e+01    7.0899926524e+00   -8.8605058375e+00   -5.3673863918e+01   -8.7867280792e+00    1.0240000000e+05    1.4092217600e-01    8.9165795898e-01
        12   -5.2626327672e+01    2.7708909533e+03   -7.3545800012e+01    2.0919472340e+01   -1.8144009664e+01    7.0977067926e+00   -8.8256332219e+00   -5.3673863918e+01   -8.7513163782e+00    1.0240000000e+05    1.4173320700e-01    8.9166186523e-01
        13   -5.2621210481e+01    2.7703632629e+03   -7.3531925932e+01    2.0910715451e+01   -1.8141614727e+01    7.1224566575e+00   -8.8389039443e+00   -5.3673863918e+01   -8.7681934681e+00    1.0240000000e+05    1.3963831000e-01    8.9148388672e-01
        14   -5.2621732053e+01    2.7704132988e+03   -7.3512487146e+01    2.0890755093e+01   -1.8036992707e+01    7.0677869314e+00   -8.8694174519e+00   -5.3673863918e+01   -8.7971353777e+00    1.0240000000e+05    1.5558396800e-01    8.9198315430e-01
        15   -5.2631769680e+01    2.7714476970e+03   -7.3508752800e+01    2.0876983120e+01   -1.8069803012e+01    7.1040557006e+00   -8.8691415712e+00   -5.3673863918e+01   -8.7915422257e+00    1.0240000000e+05    1.7175577700e-01    8.9186450195e-01
        16   -5.2640945499e+01    2.7724090497e+03   -7.3575677244e+01    2.0934731745e+01   -1.8083051552e+01    7.0645618160e+00   -8.8833235897e+00   -5.3673863918e+01   -8.8021600672e+00    1.0240000000e+05    1.6140688400e-01    8.9171435547e-01
        17   -5.2641119957e+01    2.7724285538e+03   -7.3533103088e+01    2.0891983130e+01   -1.8082558763e+01    7.0906737991e+00   -8.8673542064e+00   -5.3673863918e+01   -8.7909182221e+00    1.0240000000e+05    1.5880483800e-01    8.9172778320e-01
        18   -5.2631290274e+01    2.7713971337e+03   -7.3531577443e+01    2.0900287169e+01   -1.8084661507e+01    7.0982459496e+00   -8.8712979672e+00   -5.3673863918e+01   -8.7934954207e+00    1.0240000000e+05    1.5631486000e-01    8.9184643555e-01
        19   -5.2626840777e+01    2.7709410556e+03   -7.3502779155e+01    2.0875938378e+01   -1.8062642368e+01    7.0910062881e+00   -8.8572791576e+00   -5.3673863918e+01   -8.7823407971e+00    1.0240000000e+05    1.5852932400e-01    8.9193237305e-01
