# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -5.2666666995e+01    1.4105783813e+00    2.0481020833e+03    2.0480000000e+03    0.0000000000e+00   -5.2646710718e+01    9.9908941421e-01    1.0000000000e+00
         1   -5.2660328808e+01    1.3958891754e+00    2.0479677616e+03    2.0480000000e+03    0.0000000000e+00   -5.2676635817e+01    9.9921618841e-01    9.9462890625e-01
         2   -5.2663002924e+01    1.3611953034e+00    2.0520711623e+03    2.0520000000e+03    2.1875000000e-01   -5.2657180501e+01    9.9927866666e-01    9.9951267057e-01
         3   -5.2688349275e+01    1.3496432462e+00    2.0530434847e+03    2.0570000000e+03    7.8125000000e-02   -5.3060182731e+01    9.9925850130e-01    9.9708313077e-01
         4   -5.2684913057e+01    1.3093415144e+00    2.0479422394e+03    2.0530000000e+03    9.3750000000e-02   -5.3180271611e+01    9.9932248022e-01    9.9561617146e-01
         5   -5.2679877552e+01    1.3390090220e+00    2.0470389830e+03    2.0470000000e+03    1.2500000000e-01   -5.2679272292e+01    9.9910577880e-01    9.9853444064e-01
         6   -5.2679358585e+01    1.3435758115e+00    2.0459401812e+03    2.0450000000e+03    4.6875000000e-02   -5.2586006210e+01    9.9929144806e-01    9.9755501222e-01
         7   -5.2686577875e+01    1.3432562274e+00    2.0440857371e+03    2.0420000000e+03    7.8125000000e-02   -5.2478103178e+01    9.9901052060e-01    9.9804113614e-01
         8   -5.2693516985e+01    1.3561065941e+00    2.0439284354e+03    2.0400000000e+03    6.2500000000e-02   -5.2303959877e+01    9.9928220838e-01    9.9950980392e-01
         9   -5.2699981954e+01    1.3591732565e+00    2.0510962862e+03    2.0470000000e+03    1.0937500000e-01   -5.2295507491e+01    9.9924305889e-01    1.0000000000e+00
        10   -5.2693741142e+01    1.3667624082e+00    2.0518719754e+03    2.0550000000e+03    1.0937500000e-01   -5.3002125308e+01    9.9937913783e-01    9.9805352798e-01
        11   -5.2699227942e+01    1.3391952166e+00    2.0501434466e+03    2.0540000000e+03    4.6875000000e-02   -5.3071506748e+01    9.9887460962e-01    9.9610516066e-01
        12   -5.2716745429e+01    1.4032752945e+00    2.0469519598e+03    2.0490000000e+03    1.0937500000e-01   -5.2908439436e+01    9.9881964724e-01    9.9463152757e-01
        13   -5.2702847057e+01    1.4347617100e+00    2.0409829089e+03    2.0400000000e+03    1.5625000000e-01   -5.2614371559e+01    9.9878960387e-01    9.9754901961e-01
        14   -5.2703382430e+01    1.3672248849e+00    2.0450022999e+03    2.0380000000e+03    7.8125000000e-02   -5.2016407602e+01    9.9890767952e-01    9.9901864573e-01
        15   -5.2729951813e+01    1.3655543768e+00    2.0481426608e+03    2.0450000000e+03    1.0937500000e-01   -5.2410423827e+01    9.9919683767e-01    9.9853300733e-01
        16   -5.2739211850e+01    1.3440539019e+00    2.0458968742e+03    2.0460000000e+03    6.2500000000e-02   -5.2743883048e+01    9.9907171481e-01    9.9853372434e-01
        17   -5.2746409474e+01    1.3090362871e+00    2.0471184362e+03    2.0450000000e+03    3.1250000000e-02   -5.2533722945e+01    9.9887497008e-01    9.9853300733e-01
        18   -5.2726378007e+01    1.2965748024e+00    2.0477722057e+03    2.0470000000e+03    6.2500000000e-02   -5.2660300721e+01    9.9929036739e-01    9.9804592086e-01
        19   -5.2724077622e+01    1.3386210787e+00    2.0472156066e+03    2.0470000000e+03    4.6875000000e-02   -5.2704131234e+01    9.9921776797e-01    9.9804592086e-01
        20   -5.2719146332e+01    1.3065289498e+00    2.0477468165e+03    2.0470000000e+03    6.2500000000e-02   -5.2647462030e+01    9.9900196703e-01    9.9853444064e-01
        21   -5.2725683680e+01    1.2736302911e+00    2.0482821436e+03    2.0480000000e+03    6.2500000000e-02   -5.2694419848e+01    9.9922105226e-01    9.9853515625e-01
        22   -5.2725290042e+01    1.3169731844e+00    2.0527092523e+03    2.0530000000e+03    9.3750000000e-02   -5.2753234870e+01    9.9919172702e-01    9.9512907940e-01
        23   -5.2733329778e+01    1.2459631752e+00    2.0443713871e+03    2.0490000000e+03    1.2500000000e-01   -5.3184650027e+01    9.9926040675e-01    9.9707174231e-01
        24   -5.2735015319e+01    1.2883440908e+00    2.0476236153e+03    2.0440000000e+03    9.3750000000e-02   -5.2378658752e+01    9.9916540236e-01    9.9706457926e-01
        25   -5.2746267258e+01    1.2700950954e+00    2.0454498306e+03    2.0450000000e+03    7.8125000000e-02   -5.2698255621e+01    9.9911763021e-01    9.9706601467e-01
        26   -5.2758994924e+01    1.1985360739e+00    2.0436020667e+03    2.0410000000e+03    7.8125000000e-02   -5.2497072098e+01    9.9933225694e-01    9.9706026458e-01
        27   -5.2753232259e+01    1.2519543821e+00    2.0413444084e+03    2.0370000000e+03    6.2500000000e-02   -5.2329047444e+01    9.9930531508e-01    9.9754540992e-01
        28   -5.2773372274e+01    1.2784110511e+00    2.0497819059e+03    2.0430000000e+03    1.2500000000e-01   -5.2102213723e+01    9.9917473621e-01    9.9902104748e-01
        29   -5.2759643690e+01    1.2992633678e+00    2.0461511351e+03    2.0480000000e+03    1.0937500000e-01   -5.2947310858e+01    9.9902517991e-01    9.9804687500e-01
        30   -5.2728736865e+01    1.3397931832e+00    2.0476789623e+03    2.0460000000e+03    6.2500000000e-02   -5.2579008933e+01    9.9940101903e-01    9.9902248289e-01
        31   -5.2728424327e+01    1.2743961870e+00    2.0523207217e+03    2.0520000000e+03    9.3750000000e-02   -5.2697383068e+01    9.9900003305e-01    9.9805068226e-01
        32   -5.2733342691e+01    1.2639152711e+00    2.0466999588e+03    2.0510000000e+03    6.2500000000e-02   -5.3149925333e+01    9.9921403292e-01    9.9512432960e-01
        33   -5.2728015079e+01    1.2261255622e+00    2.0422753990e+03    2.0410000000e+03    1.2500000000e-01   -5.2606345232e+01    9.9935064034e-01    9.9902008819e-01
        34   -5.2728499967e+01    1.2422461211e+00    2.0477156101e+03    2.0420000000e+03    4.6875000000e-02   -5.2168189235e+01    9.9908811535e-01    9.9755142018e-01
        35   -5.2712045975e+01    1.2269163958e+00    2.0472058518e+03    2.0470000000e+03    1.2500000000e-01   -5.2700725584e+01    9.9891037907e-01    9.9755740107e-01
        36   -5.2728750893e+01    1.2226882421e+00    2.0488945576e+03    2.0480000000e+03    7.8125000000e-02   -5.2634477404e+01    9.9916102823e-01    9.9707031250e-01
        37   -5.2738722958e+01    1.2306008571e+00    2.0461583263e+03    2.0470000000e+03    7.8125000000e-02   -5.2816090961e+01    9.9875496347e-01    9.9706888129e-01
        38   -5.2723538669e+01    1.2152503280e+00    2.0497719639e+03    2.0480000000e+03    1.0937500000e-01   -5.2558791100e+01    9.9911942811e-01    9.9755859375e-01
        39   -5.2733811968e+01    1.2405673201e+00    2.0513081092e+03    2.0530000000e+03    1.5625000000e-01   -5.2896507204e+01    9.9952015119e-01    9.9707744764e-01
        40   -5.2734256730e+01    1.1819424512e+00    2.0457046913e+03    2.0490000000e+03    7.8125000000e-02   -5.3056608869e+01    9.9926669996e-01    9.9755978526e-01
        41   -5.2738916595e+01    1.1324187150e+00    2.0473134805e+03    2.0450000000e+03    6.2500000000e-02   -5.2509979783e+01    9.9917000329e-01    9.9853300733e-01
        42   -5.2766260073e+01    1.1341492985e+00    2.0518321777e+03    2.0510000000e+03    1.2500000000e-01   -5.2671862437e+01    9.9903482783e-01    9.9804973184e-01
        43   -5.2754215901e+01    1.1579236769e+00    2.0481152120e+03    2.0520000000e+03    7.8125000000e-02   -5.3140146485e+01    9.9900451618e-01    9.9658869396e-01
        44   -5.2767507665e+01    1.1672463483e+00    2.0469494804e+03    2.0470000000e+03    1.0937500000e-01   -5.2765466760e+01    9.9958849429e-01    9.9755740107e-01
        45   -5.2755117467e+01    1.2040207117e+00    2.0449817840e+03    2.0440000000e+03    7.8125000000e-02   -5.2664891538e+01    9.9912929019e-01    9.9902152642e-01
        46   -5.2755579293e+01    1.1946513139e+00    2.0490136844e+03    2.0460000000e+03    6.2500000000e-02   -5.2460152404e+01    9.9931140680e-01    9.9804496579e-01
        47   -5.2759591772e+01    1.2003196039e+00    2.0430137455e+03    2.0440000000e+03    6.2500000000e-02   -5.2854547418e+01    9.9931172724e-01    9.9706457926e-01
        48   -5.2762126571e+01    1.2187662136e+00    2.0449769547e+03    2.0400000000e+03    6.2500000000e-02   -5.2272059122e+01    9.9910662235e-01    9.9901960784e-01
        49   -5.2773966889e+01    1.2129138476e+00    2.0490760886e+03    2.0460000000e+03    9.3750000000e-02   -5.2466689204e+01    9.9947698579e-01    9.9951124145e-01
        50   -5.2753302738e+01    1.2555365426e+00    2.0488089997e+03    2.0500000000e+03    6.2500000000e-02   -5.2879026069e+01    9.9925857395e-01    9.9756097561e-01
        51   -5.2771273274e+01    1.2053288638e+00    2.0442734122e+03    2.0450000000e+03    6.2500000000e-02   -5.2832291011e+01    9.9920177233e-01    9.9902200489e-01
        52   -5.2772470142e+01    1.2081799562e+00    2.0497188490e+03    2.0460000000e+03    4.6875000000e-02   -5.2407017176e+01    9.9896786397e-01    9.9853372434e-01
