# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -5.2813022673e+01    1.3243821172e+00    2.0478815284e+03    2.0480000000e+03    0.0000000000e+00   -5.2836181394e+01    9.9937548985e-01    1.0000000000e+00
         1   -5.2816199717e+01    1.3329469111e+00    2.0480597140e+03    2.0480000000e+03    3.3333333333e-01   -5.2801452842e+01    9.9909974176e-01    9.9804687500e-01
         2   -5.2819905280e+01    1.3706872560e+00    2.0539564181e+03    2.0540000000e+03    2.6041666667e-02   -5.2822031081e+01    9.9907870838e-01    9.9659201558e-01
         3   -5.2831573059e+01    1.3705583524e+00    2.0481327137e+03    2.0540000000e+03    1.8229166667e-02   -5.3400742488e+01    9.9893628928e-01    9.9610516066e-01
         4   -5.2842285023e+01    1.3463727613e+00    2.0479294457e+03    2.0480000000e+03    2.0833333333e-02   -5.2844532957e+01    9.9930232487e-01    9.9853515625e-01
         5   -5.2837935259e+01    1.3678189732e+00    2.0510566621e+03    2.0510000000e+03    1.5625000000e-02   -5.2835394836e+01    9.9866467371e-01    9.9853729888e-01
         6   -5.2843733372e+01    1.3876619747e+00    2.0489692226e+03    2.0520000000e+03    1.0416666667e-02   -5.3136214881e+01    9.9909643850e-01    9.9707602339e-01
         7   -5.2847836261e+01    1.3452106602e+00    2.0490552218e+03    2.0500000000e+03    1.5625000000e-02   -5.2938361631e+01    9.9917374120e-01    9.9902439024e-01
         8   -5.2853999139e+01    1.3225235188e+00    2.0519635772e+03    2.0530000000e+03    1.3020833333e-02   -5.2950858730e+01    9.9950276955e-01    9.9707744764e-01
         9   -5.2869257281e+01    1.2997950955e+00    2.0451151517e+03    2.0490000000e+03    1.5625000000e-02   -5.3240693158e+01    9.9887708190e-01    9.9414348463e-01
        10   -5.2872374626e+01    1.3022489448e+00    2.0439028681e+03    2.0410000000e+03    3.1250000000e-02   -5.2587335208e+01    9.9892558716e-01    9.9951004410e-01
        11   -5.2880879017e+01    1.3287685026e+00    2.0471152800e+03    2.0430000000e+03    7.8125000000e-03   -5.2471863333e+01    9.9929177674e-01    9.9902104748e-01
        12   -5.2885905735e+01    1.2926546319e+00    2.0438899431e+03    2.0430000000e+03    5.2083333333e-03   -5.2794461910e+01    9.9897446502e-01    9.9853157122e-01
        13   -5.2897555555e+01    1.3153167722e+00    2.0501723927e+03    2.0460000000e+03    1.5625000000e-02   -5.2484129702e+01    9.9923135006e-01    9.9804496579e-01
        14   -5.2905497008e+01    1.3452145864e+00    2.0448716144e+03    2.0470000000e+03    1.3020833333e-02   -5.3109590844e+01    9.9940124913e-01    9.9609184172e-01
        15   -5.2885539476e+01    1.3275853726e+00    2.0500501941e+03    2.0470000000e+03    2.0833333333e-02   -5.2599757026e+01    9.9913242655e-01    9.9902296043e-01
        16   -5.2896180954e+01    1.3384256529e+00    2.0499979374e+03    2.0520000000e+03    1.8229166667e-02   -5.3085653596e+01    9.9914556841e-01    9.9610136452e-01
        17   -5.2911329105e+01    1.2778262709e+00    2.0460921039e+03    2.0480000000e+03    2.0833333333e-02   -5.3091196915e+01    9.9924669918e-01    9.9609375000e-01
        18   -5.2905958696e+01    1.2542280146e+00    2.0428792878e+03    2.0410000000e+03    1.5625000000e-02   -5.2724924282e+01    9.9932368960e-01    9.9902008819e-01
        19   -5.2918023999e+01    1.2477649041e+00    2.0501799186e+03    2.0450000000e+03    1.5625000000e-02   -5.2405262932e+01    9.9904386038e-01    9.9951100244e-01
        20   -5.2936114031e+01    1.3782522867e+00    2.0489051266e+03    2.0510000000e+03    1.8229166667e-02   -5.3130793455e+01    9.9895551342e-01    9.9853729888e-01
        21   -5.2926417351e+01    1.3022064221e+00    2.0480249934e+03    2.0490000000e+03    7.8125000000e-03   -5.3024485771e+01    9.9923871044e-01    9.9804782821e-01
        22   -5.2933124004e+01    1.2770038553e+00    2.0490055045e+03    2.0490000000e+03    1.0416666667e-02   -5.2928858100e+01    9.9905066433e-01    9.9853587116e-01
        23   -5.2924250289e+01    1.3039218418e+00    2.0549772617e+03    2.0560000000e+03    2.6041666667e-02   -5.3031293703e+01    9.9860851232e-01    9.9708171206e-01
        24   -5.2930966519e+01    1.2665561632e+00    2.0450702611e+03    2.0520000000e+03    1.5625000000e-02   -5.3604465460e+01    9.9916932371e-01    9.9610136452e-01
        25   -5.2931141664e+01    1.2990634154e+00    2.0509507254e+03    2.0480000000e+03    2.0833333333e-02   -5.2644654363e+01    9.9891641852e-01    9.9951171875e-01
        26   -5.2934512080e+01    1.2845613086e+00    2.0490522436e+03    2.0520000000e+03    1.3020833333e-02   -5.3219091058e+01    9.9892310219e-01    9.9951267057e-01
        27   -5.2913154350e+01    1.2916001627e+00    2.0538205996e+03    2.0550000000e+03    1.0416666667e-02   -5.3037243858e+01    9.9903541982e-01    9.9805352798e-01
        28   -5.2912458420e+01    1.2714606958e+00    2.0491729179e+03    2.0550000000e+03    1.0416666667e-02   -5.3480766059e+01    9.9926130271e-01    9.9854014599e-01
        29   -5.2924754223e+01    1.2613462114e+00    2.0538891585e+03    2.0550000000e+03    7.8125000000e-03   -5.3026968400e+01    9.9933696561e-01    9.9708029197e-01
        30   -5.2930529107e+01    1.1926269440e+00    2.0471531878e+03    2.0530000000e+03    1.5625000000e-02   -5.3499042049e+01    9.9918363094e-01    9.9659035558e-01
        31   -5.2937279263e+01    1.1993771309e+00    2.0478704234e+03    2.0470000000e+03    1.8229166667e-02   -5.2847815497e+01    9.9933015058e-01    9.9755740107e-01
        32   -5.2945818656e+01    1.1559014972e+00    2.0441681632e+03    2.0440000000e+03    1.3020833333e-02   -5.2924624894e+01    9.9901619179e-01    9.9951076321e-01
        33   -5.2939834430e+01    1.1896819567e+00    2.0517937092e+03    2.0480000000e+03    1.0416666667e-02   -5.2571265336e+01    9.9907392616e-01    9.9853515625e-01
        34   -5.2965804952e+01    1.1687318796e+00    2.0443435056e+03    2.0480000000e+03    7.8125000000e-03   -5.3309971128e+01    9.9936852645e-01    9.9707031250e-01
        35   -5.2972176637e+01    1.1657712096e+00    2.0496855711e+03    2.0460000000e+03    1.5625000000e-02   -5.2608406275e+01    9.9908876356e-01    9.9804496579e-01
        36   -5.2969860058e+01    1.1777785481e+00    2.0463060357e+03    2.0480000000e+03    1.5625000000e-02   -5.3136715485e+01    9.9920069560e-01    9.9658203125e-01
        37   -5.2963367956e+01    1.1848570523e+00    2.0496784011e+03    2.0480000000e+03    1.8229166667e-02   -5.2804365403e+01    9.9914560854e-01    9.9560546875e-01
        38   -5.2979490118e+01    1.1647010564e+00    2.0434260527e+03    2.0450000000e+03    2.3437500000e-02   -5.3127207186e+01    9.9911344221e-01    9.9755501222e-01
        39   -5.2975071265e+01    1.1929423795e+00    2.0445255045e+03    2.0400000000e+03    1.3020833333e-02   -5.2532316036e+01    9.9881590722e-01    9.9705882353e-01
        40   -5.2986419949e+01    1.1855820849e+00    2.0425344782e+03    2.0390000000e+03    1.5625000000e-02   -5.2635476919e+01    9.9915879092e-01    9.9705738107e-01
        41   -5.2980875916e+01    1.2017703307e+00    2.0454479088e+03    2.0400000000e+03    1.8229166667e-02   -5.2451964112e+01    9.9915622841e-01    9.9803921569e-01
        42   -5.2990482616e+01    1.1887408942e+00    2.0496360736e+03    2.0470000000e+03    2.8645833333e-02   -5.2731492842e+01    9.9924281057e-01    9.9804592086e-01
        43   -5.3006738401e+01    1.2048711706e+00    2.0444429083e+03    2.0460000000e+03    1.0416666667e-02   -5.3150191647e+01    9.9916612393e-01    9.9951124145e-01
        44   -5.3006504137e+01    1.3001844057e+00    2.0505392744e+03    2.0470000000e+03    5.2083333333e-03   -5.2659064144e+01    9.9918293925e-01    9.9902296043e-01
        45   -5.3020293438e+01    1.1883596674e+00    2.0535405710e+03    2.0560000000e+03    2.8645833333e-02   -5.3254326553e+01    9.9943665673e-01    9.9854085603e-01
        46   -5.3022500762e+01    1.2129126714e+00    2.0494571865e+03    2.0550000000e+03    7.8125000000e-03   -5.3560634242e+01    9.9905983097e-01    9.9708029197e-01
        47   -5.3015322568e+01    1.1898415791e+00    2.0474943801e+03    2.0490000000e+03    1.5625000000e-02   -5.3164753528e+01    9.9947127782e-01    9.9902391410e-01
        48   -5.3005205221e+01    1.1824448523e+00    2.0524524738e+03    2.0520000000e+03    1.3020833333e-02   -5.2965939528e+01    9.9925413731e-01    9.9951267057e-01
        49   -5.3007476714e+01    1.1779449500e+00    2.0515538241e+03    2.0560000000e+03    1.3020833333e-02   -5.3439545149e+01    9.9915182965e-01    9.9659533074e-01
        50   -5.2996462651e+01    1.1717692596e+00    2.0543953567e+03    2.0580000000e+03    2.3437500000e-02   -5.3354229087e+01    9.9899918420e-01    9.9659863946e-01
        51   -5.3000756496e+01    1.1650508964e+00    2.0466424675e+03    2.0530000000e+03    1.5625000000e-02   -5.3620036080e+01    9.9909648692e-01    9.9415489528e-01
        52   -5.2992515561e+01    1.1610210264e+00    2.0423261094e+03    2.0410000000e+03    3.1250000000e-02   -5.2868141007e+01    9.9913008888e-01    9.9902008819e-01
        53   -5.2986775903e+01    1.1749675206e+00    2.0486298958e+03    2.0430000000e+03    1.0416666667e-02   -5.2437655718e+01    9.9929460930e-01    9.9853157122e-01
        54   -5.3004528776e+01    1.1581575610e+00    2.0464748296e+03    2.0470000000e+03    1.8229166667e-02   -5.3048279702e+01    9.9906705649e-01    9.9804592086e-01
        55   -5.3010649703e+01    1.3441316248e+00    2.0465352065e+03    2.0450000000e+03    7.8125000000e-03   -5.2855530866e+01    9.9944892088e-01    9.9853300733e-01
        56   -5.3011885317e+01    1.1583009773e+00    2.0484679652e+03    2.0470000000e+03    1.3020833333e-02   -5.2867552286e+01    9.9934269292e-01    9.9706888129e-01
        57   -5.3010608889e+01    1.1572502199e+00    2.0525485363e+03    2.0530000000e+03    3.1250000000e-02   -5.3057579827e+01    9.9947323404e-01    9.9756453970e-01
        58   -5.3021836997e+01    1.1650873453e+00    2.0465165261e+03    2.0510000000e+03    1.3020833333e-02   -5.3454309349e+01    9.9915986693e-01    9.9658703072e-01
        59   -5.3011424256e+01    1.1624200732e+00    2.0474222338e+03    2.0460000000e+03    1.8229166667e-02   -5.2876914008e+01    9.9899805087e-01    9.9755620723e-01
        60   -5.3016136823e+01    1.2339154392e+00    2.0415861593e+03    2.0410000000e+03    1.3020833333e-02   -5.2954993812e+01    9.9936787935e-01    9.9804017638e-01
