#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -5.2866732179e+01    2.7962173846e+03   -7.3131086439e+01    2.0264354260e+01   -1.7907767039e+01    7.0209927902e+00   -8.5704482728e+00   -5.3673863918e+01   -8.3976089929e+00    4.0961271195e+04    9.7600669900e-01    9.9944849259e-01
         1   -5.2942286738e+01    2.8041226105e+03   -7.3159128729e+01    2.0216841992e+01   -1.7884720992e+01    6.9802760175e+00   -8.5808198370e+00   -5.3673863918e+01   -8.3969048394e+00    4.0971819346e+04    9.6150930400e-01    9.9944200164e-01
         2   -5.3004469524e+01    2.8106664685e+03   -7.3363763065e+01    2.0359293541e+01   -1.7866354218e+01    6.7600568220e+00   -8.5836017512e+00   -5.3673863918e+01   -8.3958555380e+00    4.0967058206e+04    9.6431886800e-01    9.9949307484e-01
         3   -5.3043787821e+01    2.8148432206e+03   -7.3258285111e+01    2.0214497290e+01   -1.7900926313e+01    6.9577326295e+00   -8.6412275095e+00   -5.3673863918e+01   -8.4544020007e+00    4.0945391570e+04    9.7544409500e-01    9.9943429241e-01
         4   -5.3094320219e+01    2.8201982155e+03   -7.3274155607e+01    2.0179835388e+01   -1.7806509847e+01    6.8861849600e+00   -8.6799668023e+00   -5.3673863918e+01   -8.4937453348e+00    4.0989240415e+04    9.8337865500e-01    9.9946987542e-01
         5   -5.3104771577e+01    2.8213103615e+03   -7.3241542803e+01    2.0136771226e+01   -1.7873036163e+01    7.0041328188e+00   -8.6987755408e+00   -5.3673863918e+01   -8.5083284264e+00    4.0960974359e+04    9.9249903600e-01    9.9948054549e-01
         6   -5.3097575111e+01    2.8205076170e+03   -7.3305959361e+01    2.0208384250e+01   -1.7845198642e+01    6.9535508249e+00   -8.7404476263e+00   -5.3673863918e+01   -8.5434986090e+00    4.0960684767e+04    9.7899403600e-01    9.9946089416e-01
         7   -5.3101936248e+01    2.8210002909e+03   -7.3190410265e+01    2.0088474017e+01   -1.7968464495e+01    7.1824807225e+00   -8.7305625755e+00   -5.3673863918e+01   -8.5287030188e+00    4.0962019973e+04    1.0373636930e+00    9.9943355153e-01
         8   -5.3119209146e+01    2.8228371666e+03   -7.3361123783e+01    2.0241914637e+01   -1.7976526863e+01    7.0212925023e+00   -8.7320255049e+00   -5.3673863918e+01   -8.5309358741e+00    4.0938009267e+04    9.8851287500e-01    9.9950563817e-01
         9   -5.3140693111e+01    2.8251374992e+03   -7.3367045536e+01    2.0226352426e+01   -1.8007622738e+01    7.0336978177e+00   -8.7192566987e+00   -5.3673863918e+01   -8.5172932423e+00    4.0959019428e+04    1.0012218970e+00    9.9946403795e-01
        10   -5.3151761473e+01    2.8262871198e+03   -7.3536609364e+01    2.0384847891e+01   -1.8115923786e+01    6.9582879176e+00   -8.7051095774e+00   -5.3673863918e+01   -8.4949943627e+00    4.0964311378e+04    9.7698992100e-01    9.9947990695e-01
        11   -5.3182095459e+01    2.8294843954e+03   -7.3513707722e+01    2.0331612262e+01   -1.8209274736e+01    7.0775305162e+00   -8.7080995845e+00   -5.3673863918e+01   -8.4917054663e+00    4.0962048100e+04    9.7644233600e-01    9.9946545988e-01
        12   -5.3196970578e+01    2.8310565318e+03   -7.3436168342e+01    2.0239197765e+01   -1.8200100064e+01    7.1495332496e+00   -8.7117376105e+00   -5.3673863918e+01   -8.4885274850e+00    4.0948915035e+04    9.7462702900e-01    9.9947700776e-01
        13   -5.3192138750e+01    2.8305428096e+03   -7.3491852942e+01    2.0299714192e+01   -1.8209579153e+01    7.1477999365e+00   -8.7562098074e+00   -5.3673863918e+01   -8.5294560060e+00    4.0975239328e+04    9.7197976400e-01    9.9945391390e-01
        14   -5.3193023359e+01    2.8306461251e+03   -7.3482721132e+01    2.0289697773e+01   -1.8302492244e+01    7.2656533989e+00   -8.7720183692e+00   -5.3673863918e+01   -8.5436713320e+00    4.0981874182e+04    9.7465510800e-01    9.9946460012e-01
        15   -5.3195756132e+01    2.8309326840e+03   -7.3565976071e+01    2.0370219939e+01   -1.8175651113e+01    7.0743296734e+00   -8.7907907141e+00   -5.3673863918e+01   -8.5621386716e+00    4.0976900867e+04    9.7719188500e-01    9.9946712799e-01
        16   -5.3187256449e+01    2.8299700696e+03   -7.3446050483e+01    2.0258794034e+01   -1.8063515970e+01    7.0825956906e+00   -8.7912662854e+00   -5.3673863918e+01   -8.5607824961e+00    4.0965916022e+04    9.7923587900e-01    9.9945994521e-01
        17   -5.3199535805e+01    2.8312859864e+03   -7.3435544560e+01    2.0236008755e+01   -1.8130480107e+01    7.1727643268e+00   -8.8039648617e+00   -5.3673863918e+01   -8.5764319383e+00    4.0960902788e+04    9.8018832000e-01    9.9944170198e-01
        18   -5.3199810709e+01    2.8313001310e+03   -7.3528017886e+01    2.0328207177e+01   -1.8114338229e+01    7.0745150759e+00   -8.8143308152e+00   -5.3673863918e+01   -8.5867599665e+00    4.0951978929e+04    9.7719757000e-01    9.9946886536e-01
        19   -5.3200872975e+01    2.8314502809e+03   -7.3468709520e+01    2.0267836545e+01   -1.8122126542e+01    7.1308936898e+00   -8.8036127497e+00   -5.3673863918e+01   -8.5807093789e+00    4.0968850845e+04    1.0006360120e+00    9.9945447288e-01
        20   -5.3195492474e+01    2.8309127930e+03   -7.3458989722e+01    2.0263497248e+01   -1.8118619868e+01    7.1564876741e+00   -8.8229936103e+00   -5.3673863918e+01   -8.5981477862e+00    4.0956087564e+04    9.7751403400e-01    9.9946590328e-01
        21   -5.3194791542e+01    2.8308400268e+03   -7.3418662518e+01    2.0223870977e+01   -1.7924766398e+01    7.0017249940e+00   -8.8217571962e+00   -5.3673863918e+01   -8.5887876540e+00    4.0937896436e+04    9.6957685200e-01    9.9946107285e-01
        22   -5.3215142541e+01    2.8330106552e+03   -7.3340207609e+01    2.0125065068e+01   -1.7927089851e+01    7.0720990997e+00   -8.8113529398e+00   -5.3673863918e+01   -8.5793796939e+00    4.0968192698e+04    9.8036906600e-01    9.9947868067e-01
        23   -5.3209454490e+01    2.8323773993e+03   -7.3346534034e+01    2.0137079544e+01   -1.7916541286e+01    7.0435700967e+00   -8.7996989269e+00   -5.3673863918e+01   -8.5663815215e+00    4.0967954784e+04    9.8846324000e-01    9.9947940815e-01
        24   -5.3213627686e+01    2.8327850249e+03   -7.3351496871e+01    2.0137869185e+01   -1.7857605054e+01    6.9821437428e+00   -8.8021716414e+00   -5.3673863918e+01   -8.5626661495e+00    4.0943238176e+04    9.9327400600e-01    9.9947622789e-01
        25   -5.3233949640e+01    2.8349978270e+03   -7.3322950736e+01    2.0089001096e+01   -1.7888646356e+01    7.0258473283e+00   -8.7862877905e+00   -5.3673863918e+01   -8.5507442157e+00    4.0939742695e+04    9.7851305900e-01    9.9948359473e-01
        26   -5.3211249431e+01    2.8325658810e+03   -7.3417226082e+01    2.0205976651e+01   -1.7836175904e+01    6.9459265524e+00   -8.8531128119e+00   -5.3673863918e+01   -8.6202252432e+00    4.0941052247e+04    9.8727291400e-01    9.9951006006e-01
