# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -5.2382349805e+01    1.4798905452e+00    2.0480950817e+03    2.0480000000e+03    0.0000000000e+00   -5.2363796576e+01    9.9916694939e-01    1.0000000000e+00
         1   -5.2377358366e+01    1.4634634387e+00    2.0479130796e+03    2.0480000000e+03    3.3333333333e-01   -5.2391634913e+01    9.9904311632e-01    9.9560546875e-01
         2   -5.2379304730e+01    1.4679185139e+00    2.0501133544e+03    2.0500000000e+03    2.3437500000e-02   -5.2368869861e+01    9.9894705464e-01    9.9804878049e-01
         3   -5.2400058391e+01    1.4029743428e+00    2.0449759383e+03    2.0470000000e+03    1.0416666667e-02   -5.2585580588e+01    9.9924625907e-01    9.9658036150e-01
         4   -5.2415053536e+01    1.4508822921e+00    2.0471015271e+03    2.0440000000e+03    1.8229166667e-02   -5.2104521621e+01    9.9928355773e-01    9.9804305284e-01
         5   -5.2411609686e+01    1.4277866865e+00    2.0468913687e+03    2.0460000000e+03    1.5625000000e-02   -5.2327292788e+01    9.9927209925e-01    9.9608993157e-01
         6   -5.2412536964e+01    1.4068172968e+00    2.0471340587e+03    2.0460000000e+03    2.0833333333e-02   -5.2303315594e+01    9.9904512017e-01    9.9706744868e-01
         7   -5.2412922345e+01    1.4390664644e+00    2.0458673780e+03    2.0450000000e+03    1.5625000000e-02   -5.2327954505e+01    9.9901997545e-01    9.9755501222e-01
         8   -5.2423038352e+01    1.4460957358e+00    2.0502026929e+03    2.0480000000e+03    2.0833333333e-02   -5.2204549964e+01    9.9907202561e-01    9.9804687500e-01
         9   -5.2421069460e+01    1.3685028002e+00    2.0477965472e+03    2.0500000000e+03    1.5625000000e-02   -5.2638029488e+01    9.9916257910e-01    9.9804878049e-01
        10   -5.2416340842e+01    1.4074913201e+00    2.0501678755e+03    2.0500000000e+03    1.0416666667e-02   -5.2401200034e+01    9.9912116769e-01    9.9853658537e-01
        11   -5.2431383595e+01    1.3696238197e+00    2.0469053994e+03    2.0490000000e+03    7.8125000000e-03   -5.2627935461e+01    9.9913251942e-01    9.9658369937e-01
        12   -5.2431220363e+01    1.3556523546e+00    2.0440848664e+03    2.0430000000e+03    1.8229166667e-02   -5.2324460430e+01    9.9905746015e-01    9.9657366618e-01
        13   -5.2421489307e+01    1.3711237014e+00    2.0428547952e+03    2.0390000000e+03    1.8229166667e-02   -5.2048517176e+01    9.9914893150e-01    9.9754781756e-01
        14   -5.2458247485e+01    1.3629537762e+00    2.0473365684e+03    2.0420000000e+03    2.0833333333e-02   -5.1918395671e+01    9.9894723882e-01    9.9951028404e-01
        15   -5.2453251769e+01    1.3629143456e+00    2.0506395033e+03    2.0500000000e+03    2.3437500000e-02   -5.2393448751e+01    9.9909313235e-01    9.9658536585e-01
