#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -5.2423114763e+01    2.7495894581e+03   -7.3897711240e+01    2.1474596477e+01   -1.8132295181e+01    7.2049404874e+00   -9.2964926290e+00   -5.3673863918e+01   -9.1042766293e+00    4.0954156212e+04    1.0547583450e+00    9.9945555896e-01
         1   -5.2488750034e+01    2.7564633774e+03   -7.3920810605e+01    2.1432060572e+01   -1.8127528816e+01    7.1913109323e+00   -9.3107288036e+00   -5.3673863918e+01   -9.1142801870e+00    4.0959181590e+04    1.0338345010e+00    9.9944030395e-01
         2   -5.2546271688e+01    2.7625162116e+03   -7.3885630070e+01    2.1339358382e+01   -1.8186503019e+01    7.2927301228e+00   -9.3179932554e+00   -5.3673863918e+01   -9.1142626445e+00    4.0958030201e+04    1.0323543850e+00    9.9947349331e-01
         3   -5.2610422671e+01    2.7691615947e+03   -7.3941634707e+01    2.1331212036e+01   -1.8255450878e+01    7.3054823495e+00   -9.3178022615e+00   -5.3673863918e+01   -9.1025427317e+00    4.0969997143e+04    1.0332207860e+00    9.9945832527e-01
         4   -5.2615734181e+01    2.7697175200e+03   -7.3945384497e+01    2.1329650316e+01   -1.8150276551e+01    7.2540611623e+00   -9.3753051900e+00   -5.3673863918e+01   -9.1538935164e+00    4.0970130749e+04    1.0407708570e+00    9.9945611684e-01
         5   -5.2676001117e+01    2.7760461322e+03   -7.4036346744e+01    2.1360345628e+01   -1.8134637801e+01    7.1873321787e+00   -9.4151772037e+00   -5.3673863918e+01   -9.1884408332e+00    4.0944762622e+04    1.0307362460e+00    9.9944704404e-01
         6   -5.2672416520e+01    2.7756641490e+03   -7.4004755590e+01    2.1332339069e+01   -1.8199789554e+01    7.2424079489e+00   -9.3735100668e+00   -5.3673863918e+01   -9.1436462831e+00    4.0950911287e+04    1.0330945000e+00    9.9945836534e-01
         7   -5.2704161824e+01    2.7790203781e+03   -7.3986409900e+01    2.1282248076e+01   -1.8162973193e+01    7.3041367780e+00   -9.4537095673e+00   -5.3673863918e+01   -9.2184544476e+00    4.0972885665e+04    1.0292848060e+00    9.9946920812e-01
         8   -5.2717992917e+01    2.7804499692e+03   -7.3946426904e+01    2.1228433986e+01   -1.8196278512e+01    7.4053595486e+00   -9.4816440224e+00   -5.3673863918e+01   -9.2464889299e+00    4.0954359632e+04    1.0345001340e+00    9.9947410174e-01
         9   -5.2726314121e+01    2.7813048404e+03   -7.3964838609e+01    2.1238524489e+01   -1.8166786259e+01    7.3813564464e+00   -9.5055448787e+00   -5.3673863918e+01   -9.2681252831e+00    4.0966922333e+04    1.0388543410e+00    9.9943624610e-01
