# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -5.2631498846e+01    1.3225950990e+00    2.0240715267e+03    2.0240000000e+03    0.0000000000e+00   -5.2617366974e+01    9.9910266926e-01    1.0000000000e+00
         1   -5.2622708218e+01    1.3162704481e+00    2.0239193653e+03    2.0240000000e+03    3.7500000000e-01   -5.2638566579e+01    9.9929909106e-01    9.9703557312e-01
         2   -5.2633694687e+01    1.3047516353e+00    2.0241185382e+03    2.0240000000e+03    9.3750000000e-02   -5.2614740204e+01    9.9905503995e-01    9.9851778656e-01
         3   -5.2654327363e+01    1.2997708229e+00    2.0249822966e+03    2.0250000000e+03    6.2500000000e-02   -5.2645407606e+01    9.9905072298e-01    9.9703703704e-01
         4   -5.2654309042e+01    1.4369004793e+00    2.0210148026e+03    2.0220000000e+03    9.3750000000e-02   -5.2751368701e+01    9.9909776404e-01    9.9752720079e-01
         5   -5.2654022210e+01    1.3914860894e+00    2.0239811816e+03    2.0210000000e+03    7.8125000000e-02   -5.2359111319e+01    9.9910064131e-01    9.9851558634e-01
         6   -5.2643639800e+01    1.3572946469e+00    2.0229613156e+03    2.0230000000e+03    7.8125000000e-02   -5.2652162677e+01    9.9919489020e-01    9.9703410776e-01
         7   -5.2645416238e+01    1.3409462342e+00    2.0280590774e+03    2.0270000000e+03    1.5625000000e-01   -5.2540976661e+01    9.9918360356e-01    9.9851998027e-01
         8   -5.2654295721e+01    1.3375596719e+00    2.0309900700e+03    2.0350000000e+03    1.4062500000e-01   -5.3046109188e+01    9.9898867151e-01    9.9705159705e-01
         9   -5.2661302119e+01    1.3517308440e+00    2.0230420262e+03    2.0300000000e+03    9.3750000000e-02   -5.3343824110e+01    9.9912530900e-01    9.9556650246e-01
        10   -5.2664324258e+01    1.3634176013e+00    2.0239662242e+03    2.0230000000e+03    1.2500000000e-01   -5.2566618263e+01    9.9899121353e-01    9.9901136925e-01
        11   -5.2663325665e+01    1.3486928802e+00    2.0300357263e+03    2.0300000000e+03    1.2500000000e-01   -5.2660986704e+01    9.9919332554e-01    9.9802955665e-01
