#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -5.2656500784e+01    2.7740371220e+03   -7.3383382725e+01    2.0726881941e+01   -1.7563333673e+01    6.8985500105e+00   -9.0447351445e+00   -5.3673863918e+01   -8.9570119081e+00    4.0487142352e+04    9.1900662000e-02    9.9946344776e-01
         1   -5.2733559706e+01    2.7821577561e+03   -7.3514401164e+01    2.0780841457e+01   -1.7721378261e+01    6.9573261246e+00   -9.0764851093e+00   -5.3673863918e+01   -8.9765409539e+00    4.0474308791e+04    8.9801879000e-02    9.9945394347e-01
         2   -5.2752524832e+01    2.7841546947e+03   -7.3564552113e+01    2.0812027281e+01   -1.7851698981e+01    7.0219759381e+00   -9.0609651519e+00   -5.3673863918e+01   -8.9571448587e+00    4.0483476690e+04    7.2322151000e-02    9.9946411814e-01
         3   -5.2796097876e+01    2.7886492509e+03   -7.3651892285e+01    2.0855794410e+01   -1.7887199991e+01    6.9924640694e+00   -9.0832924454e+00   -5.3673863918e+01   -8.9747006262e+00    4.0476982951e+04    6.9884976000e-02    9.9949956753e-01
         4   -5.2814276196e+01    2.7905530640e+03   -7.3636657013e+01    2.0822380817e+01   -1.7790619709e+01    6.9476069114e+00   -9.1197802974e+00   -5.3673863918e+01   -9.0062925076e+00    4.0483066722e+04    6.8335518000e-02    9.9948010571e-01
         5   -5.2831634220e+01    2.7923804145e+03   -7.3728701454e+01    2.0897067234e+01   -1.7859519718e+01    6.9609314529e+00   -9.1562492707e+00   -5.3673863918e+01   -9.0399792647e+00    4.0463306780e+04    6.7412675000e-02    9.9948269468e-01
         6   -5.2858648809e+01    2.7952645971e+03   -7.3677360611e+01    2.0818711802e+01   -1.7896299947e+01    7.0262467640e+00   -9.1334435096e+00   -5.3673863918e+01   -9.0128669340e+00    4.0501119999e+04    6.6212794000e-02    9.9945138357e-01
         7   -5.2916305681e+01    2.8012991820e+03   -7.3624345634e+01    2.0708039953e+01   -1.8050993213e+01    7.2510123156e+00   -9.1505008184e+00   -5.3673863918e+01   -9.0270098430e+00    4.0479252815e+04    6.6560112000e-02    9.9943750154e-01
         8   -5.2914602553e+01    2.8010885227e+03   -7.3797006555e+01    2.0882404002e+01   -1.8013210599e+01    7.0923002728e+00   -9.2022323105e+00   -5.3673863918e+01   -9.0741432754e+00    4.0481131771e+04    6.6293018000e-02    9.9947320965e-01
         9   -5.2912360530e+01    2.8008692614e+03   -7.3749814250e+01    2.0837453720e+01   -1.8026016504e+01    7.1521401944e+00   -9.2020740226e+00   -5.3673863918e+01   -9.0696481727e+00    4.0499011915e+04    6.6369049000e-02    9.9949460667e-01
