#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3879326951e+02    5.7023581587e+04   -3.2922613293e+02    9.0432863419e+01   -1.6276892252e+03    3.1168382064e+01    7.0636778249e+02    5.6092692771e+02    1.3056000000e+04    5.2454525400e-01    6.5614338661e-01
         1   -2.3877951901e+02    5.7017054626e+04   -3.2941392643e+02    9.0634407429e+01   -1.6278572730e+03    3.1018468767e+01    7.0649795010e+02    5.6092692771e+02    1.3056000000e+04    5.4604274600e-01    6.5596403101e-01
         2   -2.3879522818e+02    5.7024543918e+04   -3.2936154723e+02    9.0566319046e+01   -1.6275876292e+03    3.1061873420e+01    7.0623728081e+02    5.6092692771e+02    1.3056000000e+04    5.3062909100e-01    6.5602998621e-01
         3   -2.3879776553e+02    5.7025729137e+04   -3.2954599150e+02    9.0748225968e+01   -1.6279605424e+03    3.0951132105e+01    7.0653649108e+02    5.6092692771e+02    1.3056000000e+04    5.2627962500e-01    6.5608568644e-01
         4   -2.3878820925e+02    5.7021204364e+04   -3.2943782122e+02    9.0649611972e+01   -1.6276532777e+03    3.0948327964e+01    7.0634020079e+02    5.6092692771e+02    1.3056000000e+04    5.2452316300e-01    6.5595986094e-01
         5   -2.3878219757e+02    5.7018312926e+04   -3.2912688665e+02    9.0344689074e+01   -1.6275006241e+03    3.1190212325e+01    7.0625659744e+02    5.6092692771e+02    1.3056000000e+04    5.2364579000e-01    6.5606781471e-01
         6   -2.3879889199e+02    5.7026282782e+04   -3.2913372374e+02    9.0334831749e+01   -1.6277117597e+03    3.1267408372e+01    7.0638369992e+02    5.6092692771e+02    1.3056000000e+04    5.3037473800e-01    6.5613153595e-01
         7   -2.3878874080e+02    5.7021382254e+04   -3.2922415019e+02    9.0435409398e+01   -1.6276804880e+03    3.1221396968e+01    7.0630801310e+02    5.6092692771e+02    1.3056000000e+04    5.3332274100e-01    6.5600024254e-01
         8   -2.3878556220e+02    5.7019878956e+04   -3.2928797370e+02    9.0502411499e+01   -1.6277630593e+03    3.1162951096e+01    7.0638520675e+02    5.6092692771e+02    1.3056000000e+04    5.2354404000e-01    6.5586235362e-01
         9   -2.3879419921e+02    5.7024041041e+04   -3.2942753794e+02    9.0633338733e+01   -1.6279510985e+03    3.1069425405e+01    7.0652720743e+02    5.6092692771e+02    1.3056000000e+04    5.2566786600e-01    6.5588043811e-01
