# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.3881702080e+02    1.3794698092e+00    2.0479708186e+03    2.0480000000e+03    0.0000000000e+00   -2.3882269400e+02    9.9929773588e-01    1.0000000000e+00
         1   -2.3883316733e+02    1.4091780315e+00    2.0480293315e+03    2.0480000000e+03    3.3333333333e-01   -2.3881417103e+02    9.9925588288e-01    9.9316406250e-01
         2   -2.3883552603e+02    1.4193309794e+00    2.0419903595e+03    2.0420000000e+03    3.6458333333e-02   -2.3883603172e+02    9.9924516590e-01    9.9853085211e-01
         3   -2.3883689604e+02    1.4089653089e+00    2.0479930482e+03    2.0420000000e+03    7.8125000000e-03   -2.3824778432e+02    9.9923998890e-01    9.9853085211e-01
         4   -2.3884966616e+02    1.3948017854e+00    2.0520840984e+03    2.0520000000e+03    3.1250000000e-02   -2.3883621715e+02    9.9925987376e-01    9.9902534113e-01
         5   -2.3885079154e+02    1.3682942829e+00    2.0469041904e+03    2.0510000000e+03    5.2083333333e-03   -2.3924810674e+02    9.9909699280e-01    9.9853729888e-01
         6   -2.3883985293e+02    1.3873155713e+00    2.0510278607e+03    2.0500000000e+03    7.8125000000e-03   -2.3874375024e+02    9.9919375405e-01    9.9658536585e-01
         7   -2.3885337279e+02    1.5322833591e+00    2.0440641423e+03    2.0470000000e+03    1.8229166667e-02   -2.3913532409e+02    9.9914441916e-01    9.9755740107e-01
         8   -2.3886183313e+02    1.3162116520e+00    2.0469593881e+03    2.0430000000e+03    1.3020833333e-02   -2.3846864187e+02    9.9922277789e-01    9.9706314244e-01
         9   -2.3886008639e+02    1.2950287333e+00    2.0410266870e+03    2.0400000000e+03    1.3020833333e-02   -2.3876018505e+02    9.9922780237e-01    9.9705882353e-01
        10   -2.3884633630e+02    1.4193402606e+00    2.0448848008e+03    2.0380000000e+03    1.5625000000e-02   -2.3817793680e+02    9.9918140275e-01    9.9852796860e-01
        11   -2.3886586530e+02    1.3445249574e+00    2.0472076759e+03    2.0440000000e+03    2.3437500000e-02   -2.3854188602e+02    9.9921957551e-01    9.9902152642e-01
        12   -2.3885604651e+02    1.3078606269e+00    2.0457345372e+03    2.0450000000e+03    7.8125000000e-03   -2.3878847494e+02    9.9908412290e-01    9.9853300733e-01
        13   -2.3886053025e+02    1.4400971396e+00    2.0502865169e+03    2.0480000000e+03    1.5625000000e-02   -2.3863468745e+02    9.9909130096e-01    9.9902343750e-01
        14   -2.3885758798e+02    1.3522921166e+00    2.0466867337e+03    2.0490000000e+03    7.8125000000e-03   -2.3908369836e+02    9.9928537056e-01    9.9902391410e-01
        15   -2.3885287845e+02    1.3514696988e+00    2.0502745768e+03    2.0490000000e+03    5.2083333333e-03   -2.3872929818e+02    9.9929127948e-01    9.9609565642e-01
        16   -2.3885554471e+02    1.3206011894e+00    2.0467722934e+03    2.0490000000e+03    2.0833333333e-02   -2.3907488183e+02    9.9912237277e-01    9.9609565642e-01
        17   -2.3886316504e+02    1.3374856813e+00    2.0442696100e+03    2.0430000000e+03    2.0833333333e-02   -2.3873561554e+02    9.9927888604e-01    9.9804209496e-01
        18   -2.3887151592e+02    1.3808285811e+00    2.0487770906e+03    2.0450000000e+03    1.5625000000e-02   -2.3849853697e+02    9.9921426989e-01    9.9804400978e-01
        19   -2.3885861522e+02    1.3528146395e+00    2.0421420571e+03    2.0430000000e+03    1.0416666667e-02   -2.3894738928e+02    9.9932254437e-01    9.9902104748e-01
        20   -2.3886853203e+02    1.3424152394e+00    2.0488854703e+03    2.0430000000e+03    5.2083333333e-03   -2.3828573077e+02    9.9927636827e-01    9.9951052374e-01
        21   -2.3887505768e+02    1.3994068370e+00    2.0471383499e+03    2.0480000000e+03    1.5625000000e-02   -2.3895498504e+02    9.9922048724e-01    9.9707031250e-01
        22   -2.3887789474e+02    1.4182723543e+00    2.0468700545e+03    2.0460000000e+03    1.5625000000e-02   -2.3879089446e+02    9.9927487297e-01    9.9902248289e-01
        23   -2.3887399592e+02    1.3742441335e+00    2.0521139019e+03    2.0510000000e+03    1.8229166667e-02   -2.3876751805e+02    9.9930828118e-01    9.9804973184e-01
        24   -2.3889274956e+02    1.3653176543e+00    2.0499898529e+03    2.0540000000e+03    1.8229166667e-02   -2.3927534119e+02    9.9910984925e-01    9.9610516066e-01
        25   -2.3890303304e+02    1.4031474789e+00    2.0510947723e+03    2.0530000000e+03    2.0833333333e-02   -2.3908697680e+02    9.9927434454e-01    9.9805163176e-01
        26   -2.3891264947e+02    1.3617684902e+00    2.0479434597e+03    2.0510000000e+03    1.0416666667e-02   -2.3920502877e+02    9.9927664940e-01    9.9707459776e-01
        27   -2.3892892037e+02    1.3997585927e+00    2.0491413538e+03    2.0490000000e+03    1.5625000000e-02   -2.3890712788e+02    9.9916812339e-01    9.9804782821e-01
        28   -2.3892275981e+02    1.4178311053e+00    2.0448096180e+03    2.0460000000e+03    1.0416666667e-02   -2.3904034966e+02    9.9910002168e-01    9.9560117302e-01
        29   -2.3891764445e+02    1.3527817797e+00    2.0441610411e+03    2.0410000000e+03    2.3437500000e-02   -2.3861095613e+02    9.9916085891e-01    9.9951004410e-01
        30   -2.3891405190e+02    1.3653488254e+00    2.0508153246e+03    2.0470000000e+03    1.8229166667e-02   -2.3854239431e+02    9.9902814765e-01    9.9853444064e-01
        31   -2.3893323771e+02    1.3528888390e+00    2.0522949626e+03    2.0550000000e+03    2.8645833333e-02   -2.3918879715e+02    9.9927197686e-01    9.9708029197e-01
        32   -2.3893571993e+02    1.3572684690e+00    2.0457065048e+03    2.0500000000e+03    1.5625000000e-02   -2.3935222847e+02    9.9918942596e-01    9.9707317073e-01
        33   -2.3892900826e+02    1.3482371593e+00    2.0472402582e+03    2.0450000000e+03    1.5625000000e-02   -2.3871162028e+02    9.9926998618e-01    9.9853300733e-01
        34   -2.3893556862e+02    1.3907899531e+00    2.0477893498e+03    2.0470000000e+03    1.3020833333e-02   -2.3885480097e+02    9.9912305785e-01    9.9706888129e-01
        35   -2.3889715309e+02    1.2782033404e+00    2.0460110228e+03    2.0460000000e+03    1.5625000000e-02   -2.3891499625e+02    9.9906770197e-01    9.9706744868e-01
        36   -2.3891181132e+02    1.2870134466e+00    2.0440527386e+03    2.0420000000e+03    1.5625000000e-02   -2.3870282266e+02    9.9915687197e-01    9.9706170421e-01
        37   -2.3893259975e+02    1.2744714379e+00    2.0420391642e+03    2.0380000000e+03    1.5625000000e-02   -2.3852596463e+02    9.9938864229e-01    1.0000000000e+00
        38   -2.3893644939e+02    1.3172108163e+00    2.0529789724e+03    2.0470000000e+03    2.3437500000e-02   -2.3834963809e+02    9.9919839612e-01    9.9951148021e-01
        39   -2.3893213947e+02    1.2769520378e+00    2.0449905611e+03    2.0500000000e+03    1.0416666667e-02   -2.3942208707e+02    9.9928778444e-01    9.9317073171e-01
        40   -2.3893889358e+02    1.2723710535e+00    2.0400422950e+03    2.0370000000e+03    3.6458333333e-02   -2.3863803281e+02    9.9911470344e-01    9.9852724595e-01
        41   -2.3893295158e+02    1.2672177455e+00    2.0448996719e+03    2.0370000000e+03    7.8125000000e-03   -2.3816026024e+02    9.9920849860e-01    9.9901816397e-01
        42   -2.3892993796e+02    1.2974249252e+00    2.0520994264e+03    2.0490000000e+03    3.6458333333e-02   -2.3862995576e+02    9.9912983034e-01    9.9853587116e-01
        43   -2.3893581504e+02    1.3021738902e+00    2.0429322012e+03    2.0470000000e+03    7.8125000000e-03   -2.3932987243e+02    9.9905398787e-01    9.9658036150e-01
        44   -2.3892534344e+02    1.3567761610e+00    2.0449958554e+03    2.0400000000e+03    1.8229166667e-02   -2.3844029949e+02    9.9910052056e-01    9.9803921569e-01
        45   -2.3892046350e+02    1.2920801381e+00    2.0429713732e+03    2.0400000000e+03    1.0416666667e-02   -2.3863175456e+02    9.9924293443e-01    9.9852941176e-01
        46   -2.3893782122e+02    1.3785959861e+00    2.0481131998e+03    2.0430000000e+03    1.5625000000e-02   -2.3842878279e+02    9.9922370435e-01    9.9853157122e-01
        47   -2.3893997477e+02    1.3023412111e+00    2.0438920518e+03    2.0440000000e+03    1.0416666667e-02   -2.3894887558e+02    9.9919314029e-01    9.9755381605e-01
        48   -2.3895459025e+02    1.3793576893e+00    2.0461728458e+03    2.0420000000e+03    1.3020833333e-02   -2.3853840509e+02    9.9928607397e-01    9.9902056807e-01
        49   -2.3893926420e+02    1.3103858543e+00    2.0447179528e+03    2.0430000000e+03    7.8125000000e-03   -2.3877607758e+02    9.9928866227e-01    9.9657366618e-01
        50   -2.3894976027e+02    1.2744883927e+00    2.0473469954e+03    2.0440000000e+03    2.0833333333e-02   -2.3861849468e+02    9.9921497688e-01    9.9902152642e-01
        51   -2.3893666955e+02    1.2912757313e+00    2.0455775781e+03    2.0450000000e+03    7.8125000000e-03   -2.3888598012e+02    9.9922965899e-01    9.9706601467e-01
        52   -2.3893891079e+02    1.1890084844e+00    2.0444343754e+03    2.0420000000e+03    1.5625000000e-02   -2.3869996489e+02    9.9921603087e-01    9.9951028404e-01
        53   -2.3893412711e+02    1.2785041635e+00    2.0505471334e+03    2.0470000000e+03    1.3020833333e-02   -2.3859040179e+02    9.9926086896e-01    9.9853444064e-01
        54   -2.3894286245e+02    1.2455178442e+00    2.0525072553e+03    2.0550000000e+03    2.8645833333e-02   -2.3918271605e+02    9.9916540570e-01    9.9708029197e-01
        55   -2.3894691152e+02    1.2721044953e+00    2.0495209779e+03    2.0540000000e+03    1.5625000000e-02   -2.3938254045e+02    9.9915603923e-01    9.9805258033e-01
        56   -2.3894441122e+02    1.3087463863e+00    2.0494561293e+03    2.0510000000e+03    1.0416666667e-02   -2.3909538938e+02    9.9927466806e-01    9.9707459776e-01
        57   -2.3893905990e+02    1.2787630126e+00    2.0465108944e+03    2.0480000000e+03    1.5625000000e-02   -2.3908656082e+02    9.9922764971e-01    9.9804687500e-01
