#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3885131268e+02    5.7051325655e+04   -3.2959546617e+02    9.0744153482e+01   -1.6284457026e+03    3.1258022954e+01    7.0666528579e+02    5.6092692771e+02    7.0672634562e+02    4.0935085817e+04    4.3305657630e+00    9.9950915697e-01
         1   -2.3891154307e+02    5.7080080115e+04   -3.2962967725e+02    9.0718134181e+01   -1.6285133545e+03    3.1270249450e+01    7.0668650009e+02    5.6092692771e+02    7.0674752329e+02    4.0956066734e+04    4.3851415330e+00    9.9950683913e-01
         2   -2.3893969509e+02    5.7093468853e+04   -3.2948748432e+02    9.0547789229e+01   -1.6284086473e+03    3.1390866057e+01    7.0660336920e+02    5.6092692771e+02    7.0666766759e+02    4.0928671120e+04    4.4104024880e+00    9.9950379118e-01
         3   -2.3895777213e+02    5.7102179712e+04   -3.2969712915e+02    9.0739357014e+01   -1.6280341403e+03    3.0958675113e+01    7.0645140834e+02    5.6092692771e+02    7.0651353567e+02    4.0986125849e+04    4.3974827990e+00    9.9951688465e-01
         4   -2.3897387899e+02    5.7109877117e+04   -3.2982289857e+02    9.0849019584e+01   -1.6279451919e+03    3.0820943266e+01    7.0637442240e+02    5.6092692771e+02    7.0643772599e+02    4.0967188161e+04    4.3897097130e+00    9.9952317425e-01
         5   -2.3899070020e+02    5.7117932589e+04   -3.2994541978e+02    9.0954719580e+01   -1.6278687314e+03    3.0577261182e+01    7.0641912274e+02    5.6092692771e+02    7.0647993493e+02    4.0959963954e+04    4.3724861260e+00    9.9950948873e-01
         6   -2.3903300978e+02    5.7138106748e+04   -3.2985118977e+02    9.0818179988e+01   -1.6279453301e+03    3.0896423305e+01    7.0627078936e+02    5.6092692771e+02    7.0632993124e+02    4.0964003881e+04    4.3764764370e+00    9.9952590567e-01
         7   -2.3902517935e+02    5.7134376456e+04   -3.2960528369e+02    9.0580104332e+01   -1.6283660455e+03    3.1369851864e+01    7.0646398224e+02    5.6092692771e+02    7.0652521770e+02    4.0965973936e+04    4.4132823500e+00    9.9952345703e-01
         8   -2.3902676947e+02    5.7135213501e+04   -3.2974912926e+02    9.0722359793e+01   -1.6282437150e+03    3.1094630699e+01    7.0647302736e+02    5.6092692771e+02    7.0653458191e+02    4.0946078781e+04    4.3507981720e+00    9.9951326112e-01
         9   -2.3904774015e+02    5.7145154458e+04   -3.2985010332e+02    9.0802363170e+01   -1.6282467903e+03    3.0875877267e+01    7.0659388203e+02    5.6092692771e+02    7.0665570882e+02    4.0966747396e+04    4.3585211220e+00    9.9953273182e-01
        10   -2.3907217475e+02    5.7156887380e+04   -3.2963370093e+02    9.0561526182e+01   -1.6285357393e+03    3.1178882501e+01    7.0679622813e+02    5.6092692771e+02    7.0685926358e+02    4.0952821983e+04    4.4160673120e+00    9.9951345132e-01
        11   -2.3903490173e+02    5.7139011184e+04   -3.2952083865e+02    9.0485936927e+01   -1.6286139269e+03    3.1416540724e+01    7.0674961986e+02    5.6092692771e+02    7.0681131113e+02    4.0959578832e+04    4.3684921050e+00    9.9952191462e-01
        12   -2.3902203650e+02    5.7132864312e+04   -3.2911831629e+02    9.0096279782e+01   -1.6287575204e+03    3.1903998801e+01    7.0680827756e+02    5.6092692771e+02    7.0687024039e+02    4.0953293929e+04    4.3233423870e+00    9.9950722207e-01
        13   -2.3904100117e+02    5.7141891140e+04   -3.2940111791e+02    9.0360116749e+01   -1.6286750587e+03    3.1609570192e+01    7.0673744290e+02    5.6092692771e+02    7.0679733162e+02    4.0948131299e+04    4.3505868670e+00    9.9951883794e-01
        14   -2.3906678911e+02    5.7154295242e+04   -3.2938319209e+02    9.0316402981e+01   -1.6289017863e+03    3.1503244831e+01    7.0708842170e+02    5.6092692771e+02    7.0714843923e+02    4.0957884066e+04    4.3275311260e+00    9.9949930274e-01
        15   -2.3904842857e+02    5.7145521235e+04   -3.2970423908e+02    9.0655810514e+01   -1.6288194327e+03    3.1222533487e+01    7.0696573245e+02    5.6092692771e+02    7.0702678292e+02    4.0946875844e+04    4.3242811460e+00    9.9951905592e-01
        16   -2.3904124535e+02    5.7142058741e+04   -3.2985213551e+02    9.0810890158e+01   -1.6289988725e+03    3.1256979439e+01    7.0696282985e+02    5.6092692771e+02    7.0702290926e+02    4.0927853389e+04    4.3397949890e+00    9.9949823418e-01
        17   -2.3904486004e+02    5.7143791587e+04   -3.2971620601e+02    9.0671345976e+01   -1.6288537732e+03    3.1284953142e+01    7.0692568638e+02    5.6092692771e+02    7.0698522205e+02    4.0964926852e+04    4.3066807260e+00    9.9950611860e-01
        18   -2.3903507280e+02    5.7139110115e+04   -3.2973157064e+02    9.0696497839e+01   -1.6283420445e+03    3.0958962373e+01    7.0672458373e+02    5.6092692771e+02    7.0678382735e+02    4.0938091232e+04    4.3800907250e+00    9.9951694954e-01
        19   -2.3906353297e+02    5.7152690339e+04   -3.2955774022e+02    9.0494207246e+01   -1.6279812557e+03    3.0945495834e+01    7.0655109189e+02    5.6092692771e+02    7.0660679219e+02    4.0963142754e+04    4.4737710890e+00    9.9952221355e-01
        20   -2.3908583806e+02    5.7163396113e+04   -3.2953826086e+02    9.0452422801e+01   -1.6280887861e+03    3.1015029066e+01    7.0660856847e+02    5.6092692771e+02    7.0666420582e+02    4.0953040547e+04    4.3765685550e+00    9.9951572240e-01
        21   -2.3910503571e+02    5.7172627285e+04   -3.2953017167e+02    9.0425135957e+01   -1.6280048530e+03    3.1049061415e+01    7.0649869221e+02    5.6092692771e+02    7.0655286163e+02    4.0936041081e+04    4.3316314840e+00    9.9950441680e-01
        22   -2.3903806797e+02    5.7140554798e+04   -3.2940836246e+02    9.0370294496e+01   -1.6277388432e+03    3.1066746076e+01    7.0633680694e+02    5.6092692771e+02    7.0639242530e+02    4.0937750822e+04    4.2895287280e+00    9.9951426911e-01
        23   -2.3904814117e+02    5.7145346474e+04   -3.2950905983e+02    9.0460918663e+01   -1.6278034931e+03    3.0942720781e+01    7.0642478474e+02    5.6092692771e+02    7.0648035118e+02    4.0946051047e+04    4.3010375790e+00    9.9951069415e-01
        24   -2.3906839561e+02    5.7155026801e+04   -3.2960229823e+02    9.0533902621e+01   -1.6279344117e+03    3.0989213629e+01    7.0641597211e+02    5.6092692771e+02    7.0647154418e+02    4.0958229761e+04    4.2910482900e+00    9.9950012887e-01
        25   -2.3908045923e+02    5.7160839899e+04   -3.2939196329e+02    9.0311504062e+01   -1.6280193396e+03    3.1405621586e+01    7.0629482702e+02    5.6092692771e+02    7.0635203945e+02    4.0942017655e+04    4.3050480550e+00    9.9951686690e-01
        26   -2.3907282878e+02    5.7157184767e+04   -3.2929343006e+02    9.0220601281e+01   -1.6278279741e+03    3.1344387843e+01    7.0626322844e+02    5.6092692771e+02    7.0632357297e+02    4.0967652426e+04    4.3757495620e+00    9.9951109593e-01
        27   -2.3907566443e+02    5.7158523239e+04   -3.2923283756e+02    9.0157173128e+01   -1.6279754921e+03    3.1534592315e+01    7.0628113454e+02    5.6092692771e+02    7.0634017487e+02    4.0964280995e+04    4.3925986560e+00    9.9950900230e-01
        28   -2.3907162297e+02    5.7156554512e+04   -3.2954911296e+02    9.0477489989e+01   -1.6279826001e+03    3.1203848040e+01    7.0630271143e+02    5.6092692771e+02    7.0635922346e+02    4.0946747928e+04    4.3905142530e+00    9.9951609970e-01
        29   -2.3907019979e+02    5.7155865291e+04   -3.2966109137e+02    9.0590891583e+01   -1.6282002596e+03    3.1269884223e+01    7.0634235634e+02    5.6092692771e+02    7.0640145244e+02    4.0950039164e+04    4.3441267260e+00    9.9951667223e-01
        30   -2.3908612200e+02    5.7163501787e+04   -3.2966346449e+02    9.0577342491e+01   -1.6282861572e+03    3.1273296380e+01    7.0642246861e+02    5.6092692771e+02    7.0648399994e+02    4.0962070566e+04    4.3239230080e+00    9.9951674899e-01
        31   -2.3911135350e+02    5.7175641344e+04   -3.2957402473e+02    9.0462671229e+01   -1.6283169733e+03    3.1379708976e+01    7.0643631187e+02    5.6092692771e+02    7.0649773383e+02    4.0957152047e+04    4.3931013450e+00    9.9951889559e-01
        32   -2.3907578362e+02    5.7158580499e+04   -3.2979135715e+02    9.0715573532e+01   -1.6283138438e+03    3.1158624861e+01    7.0643693411e+02    5.6092692771e+02    7.0649884650e+02    4.0962203556e+04    4.3777747760e+00    9.9951416016e-01
        33   -2.3908090751e+02    5.7160970381e+04   -3.2994868504e+02    9.0867777528e+01   -1.6283694086e+03    3.1055062865e+01    7.0643873298e+02    5.6092692771e+02    7.0649993041e+02    4.0942200404e+04    4.3066953850e+00    9.9951316107e-01
        34   -2.3905064591e+02    5.7146570818e+04   -3.2984628349e+02    9.0795637576e+01   -1.6282490426e+03    3.1197221456e+01    7.0627860998e+02    5.6092692771e+02    7.0633765168e+02    4.0955943136e+04    4.3123756550e+00    9.9952196414e-01
        35   -2.3906969328e+02    5.7155668229e+04   -3.2969235866e+02    9.0622665382e+01   -1.6285691296e+03    3.1573589747e+01    7.0637625345e+02    5.6092692771e+02    7.0643287263e+02    4.0951412730e+04    4.3214693940e+00    9.9952586441e-01
        36   -2.3910349583e+02    5.7171880683e+04   -3.2974292919e+02    9.0639433361e+01   -1.6284820171e+03    3.1311821766e+01    7.0650033845e+02    5.6092692771e+02    7.0655662687e+02    4.0980897526e+04    4.3935457440e+00    9.9952013613e-01
        37   -2.3911184826e+02    5.7175865778e+04   -3.2969752355e+02    9.0585675298e+01   -1.6285220171e+03    3.1332238370e+01    7.0656532745e+02    5.6092692771e+02    7.0662171484e+02    4.0965151176e+04    4.3780667570e+00    9.9952589410e-01
        38   -2.3908615270e+02    5.7163522801e+04   -3.2973796189e+02    9.0651809194e+01   -1.6286260948e+03    3.1272679902e+01    7.0668852525e+02    5.6092692771e+02    7.0674428014e+02    4.0938976712e+04    4.3214635420e+00    9.9950547601e-01
        39   -2.3906590866e+02    5.7153865882e+04   -3.2973019548e+02    9.0664286817e+01   -1.6283919326e+03    3.1062755491e+01    7.0667205395e+02    5.6092692771e+02    7.0673197834e+02    4.0967702062e+04    4.3768273430e+00    9.9951985008e-01
        40   -2.3906194572e+02    5.7151961912e+04   -3.2979517235e+02    9.0733226632e+01   -1.6285553156e+03    3.1024148717e+01    7.0680906680e+02    5.6092692771e+02    7.0686748014e+02    4.0954231946e+04    4.3227082110e+00    9.9952020017e-01
        41   -2.3909569780e+02    5.7168102160e+04   -3.2977761884e+02    9.0681921037e+01   -1.6285454292e+03    3.0999432478e+01    7.0684145016e+02    5.6092692771e+02    7.0689506469e+02    4.0958842159e+04    4.3165064710e+00    9.9953412106e-01
        42   -2.3906958935e+02    5.7155576245e+04   -3.2977175257e+02    9.0702163220e+01   -1.6285624042e+03    3.0989214956e+01    7.0687450898e+02    5.6092692771e+02    7.0692830113e+02    4.0980941141e+04    4.3450262790e+00    9.9953371709e-01
        43   -2.3906346848e+02    5.7152693231e+04   -3.2980315669e+02    9.0739688201e+01   -1.6285175259e+03    3.1024530854e+01    7.0676291063e+02    5.6092692771e+02    7.0681726885e+02    4.0980276153e+04    4.3368884770e+00    9.9950380614e-01
        44   -2.3910319028e+02    5.7171666091e+04   -3.2978134429e+02    9.0678154010e+01   -1.6286076236e+03    3.1133903303e+01    7.0676544832e+02    5.6092692771e+02    7.0682153453e+02    4.0939086977e+04    4.3193873650e+00    9.9952558965e-01
        45   -2.3909391191e+02    5.7167223678e+04   -3.2972659567e+02    9.0632683759e+01   -1.6284507412e+03    3.1073250947e+01    7.0672396687e+02    5.6092692771e+02    7.0678139230e+02    4.0951990126e+04    4.4065481690e+00    9.9953328231e-01
        46   -2.3911448351e+02    5.7177098115e+04   -3.2955565288e+02    9.0441169371e+01   -1.6282381891e+03    3.1178224353e+01    7.0657738419e+02    5.6092692771e+02    7.0663113686e+02    4.0954239094e+04    4.4103219550e+00    9.9951001937e-01
        47   -2.3914089842e+02    5.7189813142e+04   -3.2938469414e+02    9.0243795714e+01   -1.6283287780e+03    3.1392173751e+01    7.0662498244e+02    5.6092692771e+02    7.0667941707e+02    4.0953095712e+04    4.4365340500e+00    9.9952084351e-01
        48   -2.3910862973e+02    5.7174264512e+04   -3.2967987563e+02    9.0571245897e+01   -1.6282709474e+03    3.1080796207e+01    7.0658334780e+02    5.6092692771e+02    7.0663815833e+02    4.0982735618e+04    4.3299767440e+00    9.9951513526e-01
        49   -2.3912166364e+02    5.7180575209e+04   -3.2988176623e+02    9.0760102590e+01   -1.6283988761e+03    3.0990084704e+01    7.0660009744e+02    5.6092692771e+02    7.0665298526e+02    4.0976073554e+04    4.3787481150e+00    9.9951410913e-01
        50   -2.3912446722e+02    5.7181834607e+04   -3.2990896096e+02    9.0784493737e+01   -1.6283774780e+03    3.1022960906e+01    7.0651862841e+02    5.6092692771e+02    7.0657420181e+02    4.0916761048e+04    4.3210251830e+00    9.9951599327e-01
        51   -2.3912250036e+02    5.7180871047e+04   -3.2947268089e+02    9.0350180523e+01   -1.6280391392e+03    3.1338966381e+01    7.0630056424e+02    5.6092692771e+02    7.0635423156e+02    4.0860179358e+04    4.3405090950e+00    9.9950848426e-01
        52   -2.3909792686e+02    5.7169121609e+04   -3.2961285335e+02    9.0514926490e+01   -1.6281156177e+03    3.1286106440e+01    7.0628973018e+02    5.6092692771e+02    7.0634283505e+02    4.0357905087e+04    4.3246284130e+00    9.9950196982e-01
        53   -2.3910052492e+02    5.7170337999e+04   -3.2951961457e+02    9.0419089652e+01   -1.6279346901e+03    3.1092549165e+01    7.0639559866e+02    5.6092692771e+02    7.0644999999e+02    4.0358460136e+04    4.3034605320e+00    9.9952535915e-01
        54   -2.3913299364e+02    5.7185873370e+04   -3.2939554112e+02    9.0262547477e+01   -1.6280335412e+03    3.1212554810e+01    7.0649851756e+02    5.6092692771e+02    7.0655531712e+02    4.0497502816e+04    4.3255635710e+00    9.9952280205e-01
        55   -2.3912554583e+02    5.7182336024e+04   -3.2936324359e+02    9.0237697757e+01   -1.6280814274e+03    3.1191043526e+01    7.0660021259e+02    5.6092692771e+02    7.0665848819e+02    4.0760942966e+04    4.3286306910e+00    9.9953328863e-01
        56   -2.3907992506e+02    5.7160580323e+04   -3.2946287804e+02    9.0382952979e+01   -1.6280985025e+03    3.1043616583e+01    7.0666508018e+02    5.6092692771e+02    7.0672338142e+02    4.0809718018e+04    4.3965346380e+00    9.9951067664e-01
        57   -2.3908620189e+02    5.7163543093e+04   -3.2942591627e+02    9.0339714386e+01   -1.6281603404e+03    3.1169542042e+01    7.0663795437e+02    5.6092692771e+02    7.0669246006e+02    4.0636570328e+04    4.4111618770e+00    9.9951881015e-01
        58   -2.3908216644e+02    5.7161612951e+04   -3.2958676140e+02    9.0504594962e+01   -1.6276424651e+03    3.0649669263e+01    7.0647910670e+02    5.6092692771e+02    7.0653263944e+02    4.0807852973e+04    4.3697751320e+00    9.9952356061e-01
        59   -2.3909221569e+02    5.7166424520e+04   -3.2955518018e+02    9.0462964492e+01   -1.6276490626e+03    3.0759152923e+01    7.0640780175e+02    5.6092692771e+02    7.0645973242e+02    4.0933225583e+04    4.3406544810e+00    9.9952975376e-01
        60   -2.3907463613e+02    5.7158023986e+04   -3.2942375035e+02    9.0349114220e+01   -1.6277035392e+03    3.1010494436e+01    7.0634236668e+02    5.6092692771e+02    7.0639234908e+02    4.0742218196e+04    4.3055457980e+00    9.9950425798e-01
        61   -2.3906892603e+02    5.7155388099e+04   -3.2924507827e+02    9.0176152241e+01   -1.6278353102e+03    3.1306140259e+01    7.0635716394e+02    5.6092692771e+02    7.0640858621e+02    4.0441114149e+04    4.3087026920e+00    9.9949822118e-01
        62   -2.3906188639e+02    5.7151925526e+04   -3.2933009495e+02    9.0268208563e+01   -1.6276887283e+03    3.1134002084e+01    7.0629770359e+02    5.6092692771e+02    7.0635186315e+02    4.0171688580e+04    4.2932829600e+00    9.9951780405e-01
        63   -2.3904855012e+02    5.7145509107e+04   -3.2938080345e+02    9.0332253337e+01   -1.6280097437e+03    3.1238176786e+01    7.0646383580e+02    5.6092692771e+02    7.0651611682e+02    3.9788593313e+04    4.2778859400e+00    9.9950743868e-01
        64   -2.3906886769e+02    5.7155180849e+04   -3.2932522731e+02    9.0256359617e+01   -1.6280320512e+03    3.1326400387e+01    7.0645349581e+02    5.6092692771e+02    7.0650649749e+02    3.9566068839e+04    4.3207774900e+00    9.9951611454e-01
        65   -2.3908854046e+02    5.7164668132e+04   -3.2922845446e+02    9.0139913998e+01   -1.6278916304e+03    3.1386267912e+01    7.0634998031e+02    5.6092692771e+02    7.0640338513e+02    3.9466808497e+04    4.2521781240e+00    9.9951962606e-01
        66   -2.3911137754e+02    5.7175602640e+04   -3.2948910541e+02    9.0377727867e+01   -1.6278428400e+03    3.1162121011e+01    7.0626468590e+02    5.6092692771e+02    7.0631864846e+02    3.9346720858e+04    4.1583494660e+00    9.9951824075e-01
        67   -2.3908919956e+02    5.7165020224e+04   -3.2942987636e+02    9.0340676801e+01   -1.6277030008e+03    3.1068407859e+01    7.0627778890e+02    5.6092692771e+02    7.0633162028e+02    3.9627337441e+04    4.2789256520e+00    9.9950937915e-01
        68   -2.3905921897e+02    5.7150709439e+04   -3.2937443087e+02    9.0315211898e+01   -1.6277094702e+03    3.1177713485e+01    7.0623039814e+02    5.6092692771e+02    7.0628685747e+02    3.9664147629e+04    4.3143647670e+00    9.9952041594e-01
        69   -2.3906123033e+02    5.7151653343e+04   -3.2949609642e+02    9.0434866082e+01   -1.6278029490e+03    3.1020378285e+01    7.0635954661e+02    5.6092692771e+02    7.0641544143e+02    3.9410688267e+04    4.2425973830e+00    9.9951985023e-01
        70   -2.3909292515e+02    5.7166813420e+04   -3.2963576155e+02    9.0542836403e+01   -1.6278239012e+03    3.1015525388e+01    7.0624568659e+02    5.6092692771e+02    7.0630379267e+02    3.9237031925e+04    4.1380738150e+00    9.9952244995e-01
        71   -2.3909490876e+02    5.7167783987e+04   -3.2927414587e+02    9.0179237111e+01   -1.6280513112e+03    3.1568063409e+01    7.0628217421e+02    5.6092692771e+02    7.0634061100e+02    3.9326274744e+04    4.1931422720e+00    9.9951844410e-01
        72   -2.3907957670e+02    5.7160410026e+04   -3.2941676272e+02    9.0337186021e+01   -1.6283240865e+03    3.1562257664e+01    7.0641813844e+02    5.6092692771e+02    7.0647471239e+02    3.9777986969e+04    4.2775160460e+00    9.9952020583e-01
        73   -2.3908353545e+02    5.7162326319e+04   -3.2922387578e+02    9.0140340327e+01   -1.6285947704e+03    3.1758360834e+01    7.0668560604e+02    5.6092692771e+02    7.0674241843e+02    3.9980685554e+04    4.2975498860e+00    9.9950944015e-01
        74   -2.3907311022e+02    5.7157335522e+04   -3.2933282303e+02    9.0259712810e+01   -1.6283078790e+03    3.1543465094e+01    7.0650466313e+02    5.6092692771e+02    7.0656026698e+02    4.0307157317e+04    4.2923975180e+00    9.9952668822e-01
        75   -2.3909171822e+02    5.7166154191e+04   -3.2955021809e+02    9.0458499872e+01   -1.6278975755e+03    3.1055064246e+01    7.0636536549e+02    5.6092692771e+02    7.0642069560e+02    4.0435572289e+04    4.3895573010e+00    9.9952595304e-01
        76   -2.3911027362e+02    5.7175076333e+04   -3.2951889002e+02    9.0408616404e+01   -1.6277667109e+03    3.0971459233e+01    7.0634943397e+02    5.6092692771e+02    7.0640467011e+02    4.0472604021e+04    4.3797750950e+00    9.9952662592e-01
        77   -2.3913505312e+02    5.7186925706e+04   -3.2946722894e+02    9.0332175820e+01   -1.6278198061e+03    3.1142058707e+01    7.0628359070e+02    5.6092692771e+02    7.0633754199e+02    4.0666737781e+04    4.3675280800e+00    9.9952801828e-01
        78   -2.3909923520e+02    5.7169806486e+04   -3.2943658375e+02    9.0337348551e+01   -1.6279711981e+03    3.1114481553e+01    7.0649320509e+02    5.6092692771e+02    7.0654552711e+02    4.0620628392e+04    4.3820758760e+00    9.9953180524e-01
        79   -2.3908774488e+02    5.7164291219e+04   -3.2950752553e+02    9.0419780647e+01   -1.6278821699e+03    3.0978506523e+01    7.0646921010e+02    5.6092692771e+02    7.0652073539e+02    4.0580173062e+04    4.4001379440e+00    9.9950713423e-01
        80   -2.3909111237e+02    5.7165966139e+04   -3.2936051243e+02    9.0269400058e+01   -1.6280972816e+03    3.1370543281e+01    7.0643929817e+02    5.6092692771e+02    7.0649213874e+02    4.0331062588e+04    4.3157313820e+00    9.9949593886e-01
