#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3870806549e+02    5.6982867925e+04   -3.2923225123e+02    9.0524185742e+01   -1.6277965618e+03    3.1085124670e+01    7.0655225821e+02    5.6092692771e+02    7.0661473761e+02    4.0960000000e+04    4.3281516660e+00    8.9864352756e-01
         1   -2.3871421157e+02    5.6985783238e+04   -3.2918239529e+02    9.0468183716e+01   -1.6276086589e+03    3.1068478466e+01    7.0643085748e+02    5.6092692771e+02    7.0649331882e+02    4.0960000000e+04    4.3509101480e+00    8.9844211155e-01
         2   -2.3872594781e+02    5.6991385976e+04   -3.2925835490e+02    9.0532407082e+01   -1.6276816301e+03    3.1081777405e+01    7.0641457007e+02    5.6092692771e+02    7.0647790750e+02    4.0960000000e+04    4.3455389400e+00    8.9852688260e-01
         3   -2.3871583373e+02    5.6986588379e+04   -3.2907307416e+02    9.0357240433e+01   -1.6276747207e+03    3.1111003171e+01    7.0656371563e+02    5.6092692771e+02    7.0662412249e+02    4.0960000000e+04    4.3202401210e+00    8.9841824002e-01
         4   -2.3871120862e+02    5.6984384662e+04   -3.2912600898e+02    9.0414800366e+01   -1.6276377611e+03    3.1114081241e+01    7.0647074318e+02    5.6092692771e+02    7.0653056944e+02    4.0960000000e+04    4.3113201040e+00    8.9840101454e-01
         5   -2.3871777690e+02    5.6987508390e+04   -3.2922253185e+02    9.0504754952e+01   -1.6275332256e+03    3.1051321533e+01    7.0633244449e+02    5.6092692771e+02    7.0639461841e+02    4.0960000000e+04    4.3206308670e+00    8.9860148112e-01
         6   -2.3871593857e+02    5.6986617487e+04   -3.2912210924e+02    9.0406170671e+01   -1.6276957556e+03    3.1123916676e+01    7.0652280200e+02    5.6092692771e+02    7.0658493189e+02    4.0960000000e+04    4.3097109110e+00    8.9841837565e-01
         7   -2.3872236719e+02    5.6989711357e+04   -3.2921407599e+02    9.0491708799e+01   -1.6278991168e+03    3.1060687944e+01    7.0669742511e+02    5.6092692771e+02    7.0676117854e+02    4.0960000000e+04    4.3162744510e+00    8.9828274197e-01
         8   -2.3870478635e+02    5.6981286238e+04   -3.2915364586e+02    9.0448859518e+01   -1.6276515836e+03    3.1019411254e+01    7.0655159876e+02    5.6092692771e+02    7.0661260468e+02    4.0960000000e+04    4.3247676510e+00    8.9858900282e-01
         9   -2.3872173910e+02    5.6989381341e+04   -3.2921877836e+02    9.0497039257e+01   -1.6273309904e+03    3.0966422287e+01    7.0621886203e+02    5.6092692771e+02    7.0628254596e+02    4.0960000000e+04    4.3447372860e+00    8.9848076714e-01
        10   -2.3873172561e+02    5.6994163270e+04   -3.2928653510e+02    9.0554809487e+01   -1.6279298151e+03    3.1119192303e+01    7.0659715996e+02    5.6092692771e+02    7.0665964249e+02    4.0960000000e+04    4.3100929530e+00    8.9846896701e-01
        11   -2.3871848515e+02    5.6987821753e+04   -3.2930536113e+02    9.0586875979e+01   -1.6279690934e+03    3.1023220448e+01    7.0671358409e+02    5.6092692771e+02    7.0677544392e+02    4.0960000000e+04    4.3260076670e+00    8.9844685872e-01
        12   -2.3872878635e+02    5.6992764115e+04   -3.2927137193e+02    9.0542585575e+01   -1.6276281973e+03    3.1026844734e+01    7.0640305293e+02    5.6092692771e+02    7.0646467937e+02    4.0960000000e+04    4.3156963670e+00    8.9857611762e-01
        13   -2.3871343749e+02    5.6985446344e+04   -3.2919870950e+02    9.0485272010e+01   -1.6280517608e+03    3.1100875073e+01    7.0682524856e+02    5.6092692771e+02    7.0688792537e+02    4.0960000000e+04    4.3161662120e+00    8.9858425564e-01
        14   -2.3869346320e+02    5.6975877632e+04   -3.2911394686e+02    9.0420483660e+01   -1.6276218258e+03    3.0998830013e+01    7.0658212119e+02    5.6092692771e+02    7.0664458378e+02    4.0960000000e+04    4.3220470030e+00    8.9860636393e-01
        15   -2.3870894756e+02    5.6983278488e+04   -3.2919398251e+02    9.0485034946e+01   -1.6273461265e+03    3.0926565012e+01    7.0629865131e+02    5.6092692771e+02    7.0636223311e+02    4.0960000000e+04    4.3398172050e+00    8.9839884440e-01
        16   -2.3871656948e+02    5.6986933510e+04   -3.2926211999e+02    9.0545550508e+01   -1.6277343717e+03    3.1021291524e+01    7.0652403247e+02    5.6092692771e+02    7.0658383417e+02    4.0960000000e+04    4.3510460590e+00    8.9861165365e-01
        17   -2.3871413720e+02    5.6985764113e+04   -3.2943271086e+02    9.0718573661e+01   -1.6278862383e+03    3.0910232654e+01    7.0661636709e+02    5.6092692771e+02    7.0667646247e+02    4.0960000000e+04    4.3687280310e+00    8.9825642904e-01
        18   -2.3871865093e+02    5.6987923595e+04   -3.2937490546e+02    9.0656254531e+01   -1.6284697667e+03    3.1240528406e+01    7.0692740511e+02    5.6092692771e+02    7.0698971962e+02    4.0960000000e+04    4.3630192340e+00    8.9842230903e-01
        19   -2.3872490070e+02    5.6990914478e+04   -3.2923156315e+02    9.0506662454e+01   -1.6281682337e+03    3.1240849464e+01    7.0676889336e+02    5.6092692771e+02    7.0683009402e+02    4.0960000000e+04    4.3725331580e+00    8.9836846246e-01
