# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.3871722565e+02    1.3018340969e+00    2.0479751548e+03    2.0480000000e+03    0.0000000000e+00   -2.3872214929e+02    9.9920824970e-01    1.0000000000e+00
         1   -2.3871579687e+02    1.2831709002e+00    2.0479620185e+03    2.0480000000e+03    3.3333333333e-01   -2.3871479935e+02    9.9925203541e-01    9.9755859375e-01
         2   -2.3871080425e+02    1.2811131813e+00    2.0459814863e+03    2.0460000000e+03    1.3020833333e-02   -2.3871208770e+02    9.9929980078e-01    9.9902248289e-01
         3   -2.3871951410e+02    1.2552125863e+00    2.0530676869e+03    2.0510000000e+03    1.8229166667e-02   -2.3851358657e+02    9.9916214216e-01    9.9951243296e-01
         4   -2.3873109852e+02    1.2211696752e+00    2.0479831360e+03    2.0530000000e+03    7.8125000000e-03   -2.3921379412e+02    9.9926432277e-01    9.9707744764e-01
         5   -2.3874002344e+02    1.2601162287e+00    2.0480403309e+03    2.0480000000e+03    1.5625000000e-02   -2.3872945164e+02    9.9930854764e-01    9.9658203125e-01
         6   -2.3873542349e+02    1.2595979089e+00    2.0429259345e+03    2.0430000000e+03    1.8229166667e-02   -2.3874396197e+02    9.9926794213e-01    9.9755261870e-01
         7   -2.3875140436e+02    1.2115529083e+00    2.0471506369e+03    2.0420000000e+03    1.3020833333e-02   -2.3823929443e+02    9.9941398958e-01    9.9902056807e-01
         8   -2.3875538122e+02    1.2402283229e+00    2.0528900701e+03    2.0520000000e+03    3.1250000000e-02   -2.3866844154e+02    9.9926340395e-01    9.9415204678e-01
         9   -2.3878449069e+02    1.2326902000e+00    2.0403188598e+03    2.0450000000e+03    3.1250000000e-02   -2.3923235791e+02    9.9920453431e-01    9.9902200489e-01
        10   -2.3877244732e+02    1.2464047306e+00    2.0515995302e+03    2.0440000000e+03    5.2083333333e-03   -2.3803296916e+02    9.9926299017e-01    9.9902152642e-01
        11   -2.3879206040e+02    1.1949200214e+00    2.0515040828e+03    2.0550000000e+03    3.1250000000e-02   -2.3912365540e+02    9.9925406615e-01    9.9659367397e-01
        12   -2.3877865429e+02    1.2487786247e+00    2.0474254748e+03    2.0510000000e+03    1.8229166667e-02   -2.3913396358e+02    9.9917585129e-01    9.9853729888e-01
        13   -2.3879185399e+02    1.3225744319e+00    2.0526456434e+03    2.0520000000e+03    1.0416666667e-02   -2.3872254044e+02    9.9926403367e-01    9.9902534113e-01
        14   -2.3878773688e+02    1.3428662223e+00    2.0503244914e+03    2.0550000000e+03    1.3020833333e-02   -2.3924501633e+02    9.9928596648e-01    9.9756690998e-01
        15   -2.3880104716e+02    1.3576932371e+00    2.0547720178e+03    2.0570000000e+03    1.5625000000e-02   -2.3901460927e+02    9.9923898253e-01    9.9805542052e-01
        16   -2.3879871736e+02    1.2880767692e+00    2.0512302735e+03    2.0580000000e+03    1.3020833333e-02   -2.3946128603e+02    9.9933055543e-01    9.9368318756e-01
