#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3871024668e+02    5.6983958354e+04   -3.2914273026e+02    9.0432483583e+01   -1.6265619750e+03    3.1068900479e+01    7.0542341651e+02    5.6092692771e+02    7.0548905166e+02    4.0960000000e+04    4.1185512900e+00    8.9739583333e-01
         1   -2.3871421023e+02    5.6985849288e+04   -3.2906975818e+02    9.0355547951e+01   -1.6265398300e+03    3.1084752771e+01    7.0545839134e+02    5.6092692771e+02    7.0552389937e+02    4.0960000000e+04    4.1086518520e+00    8.9707777235e-01
         2   -2.3870231096e+02    5.6980149295e+04   -3.2907200802e+02    9.0369697065e+01   -1.6264812472e+03    3.1239978343e+01    7.0524233310e+02    5.6092692771e+02    7.0530703745e+02    4.0960000000e+04    4.1235962450e+00    8.9708075629e-01
         3   -2.3872466919e+02    5.6990846349e+04   -3.2909883648e+02    9.0374167288e+01   -1.6264387660e+03    3.1065138165e+01    7.0534786365e+02    5.6092692771e+02    7.0541158768e+02    4.0960000000e+04    4.1417029710e+00    8.9728474935e-01
         4   -2.3870761527e+02    5.6982695046e+04   -3.2916095377e+02    9.0453338498e+01   -1.6264795399e+03    3.1034378396e+01    7.0535727999e+02    5.6092692771e+02    7.0542065544e+02    4.0960000000e+04    4.1092108180e+00    8.9713039822e-01
         5   -2.3869554525e+02    5.6976996128e+04   -3.2915667479e+02    9.0461129535e+01   -1.6265177425e+03    3.0998346424e+01    7.0543579355e+02    5.6092692771e+02    7.0550174026e+02    4.0960000000e+04    4.1117619210e+00    8.9707994249e-01
         6   -2.3870759319e+02    5.6982698969e+04   -3.2890062372e+02    9.0193030539e+01   -1.6262558056e+03    3.1157804102e+01    7.0527045009e+02    5.6092692771e+02    7.0533690344e+02    4.0960000000e+04    4.1407094080e+00    8.9701673720e-01
         7   -2.3870425547e+02    5.6981115091e+04   -3.2894700327e+02    9.0242747804e+01   -1.6262206989e+03    3.1096446337e+01    7.0525032159e+02    5.6092692771e+02    7.0531576091e+02    4.0960000000e+04    4.1080992570e+00    8.9730278863e-01
         8   -2.3870327117e+02    5.6980630135e+04   -3.2906643171e+02    9.0363160536e+01   -1.6263015656e+03    3.0953879430e+01    7.0535432672e+02    5.6092692771e+02    7.0541840944e+02    4.0960000000e+04    4.1128648810e+00    8.9720608181e-01
         9   -2.3871250800e+02    5.6985047687e+04   -3.2916208915e+02    9.0449581151e+01   -1.6267469552e+03    3.1166840925e+01    7.0549109742e+02    5.6092692771e+02    7.0555685571e+02    4.0960000000e+04    4.1362499490e+00    8.9725653754e-01
        10   -2.3870790184e+02    5.6982841241e+04   -3.2908397973e+02    9.0376077890e+01   -1.6264623632e+03    3.1097576013e+01    7.0535387979e+02    5.6092692771e+02    7.0541741999e+02    4.0960000000e+04    4.1206567810e+00    8.9725775825e-01
        11   -2.3870948396e+02    5.6983606247e+04   -3.2908668379e+02    9.0377199825e+01   -1.6265891696e+03    3.1227836966e+01    7.0534772109e+02    5.6092692771e+02    7.0541351263e+02    4.0960000000e+04    4.1611507080e+00    8.9743720161e-01
        12   -2.3870073138e+02    5.6979458965e+04   -3.2914237136e+02    9.0441639983e+01   -1.6263905237e+03    3.0967339969e+01    7.0535388467e+02    5.6092692771e+02    7.0541791814e+02    4.0960000000e+04    4.1452193820e+00    8.9707343207e-01
        13   -2.3870919859e+02    5.6983453871e+04   -3.2912734253e+02    9.0418143940e+01   -1.6263618507e+03    3.1060298220e+01    7.0524728227e+02    5.6092692771e+02    7.0531165132e+02    4.0960000000e+04    4.1444807460e+00    8.9707071940e-01
        14   -2.3871616666e+02    5.6986756493e+04   -3.2896349559e+02    9.0247328932e+01   -1.6261124178e+03    3.0993823729e+01    7.0522817074e+02    5.6092692771e+02    7.0529205577e+02    4.0960000000e+04    4.1425701490e+00    8.9718207465e-01
        15   -2.3870950642e+02    5.6983601446e+04   -3.2900350548e+02    9.0293999064e+01   -1.6261100626e+03    3.1027800829e+01    7.0515182857e+02    5.6092692771e+02    7.0521638994e+02    4.0960000000e+04    4.1860406530e+00    8.9736368815e-01
        16   -2.3870666742e+02    5.6982283212e+04   -3.2902677879e+02    9.0320111370e+01   -1.6263172270e+03    3.1063652168e+01    7.0529986837e+02    5.6092692771e+02    7.0536527858e+02    4.0960000000e+04    4.1445752440e+00    8.9720987956e-01
        17   -2.3871157195e+02    5.6984610298e+04   -3.2915228989e+02    9.0440717938e+01   -1.6264443889e+03    3.0979061112e+01    7.0538611019e+02    5.6092692771e+02    7.0545046142e+02    4.0960000000e+04    4.1089618070e+00    8.9696329753e-01
        18   -2.3870498045e+02    5.6981447243e+04   -3.2905800959e+02    9.0353029135e+01   -1.6266849348e+03    3.1235615030e+01    7.0546438246e+02    5.6092692771e+02    7.0552995851e+02    4.0960000000e+04    4.1080305020e+00    8.9718098958e-01
        19   -2.3869290647e+02    5.6975698628e+04   -3.2909334259e+02    9.0400436121e+01   -1.6262793368e+03    3.1053927193e+01    7.0520513930e+02    5.6092692771e+02    7.0526785734e+02    4.0960000000e+04    4.1421904200e+00    8.9712551541e-01
