# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.3869711506e+02    1.3654973758e+00    2.0480005332e+03    2.0480000000e+03    0.0000000000e+00   -2.3869698707e+02    9.9927804087e-01    1.0000000000e+00
         1   -2.3870506412e+02    1.3824719335e+00    2.0480354268e+03    2.0480000000e+03    3.3333333333e-01   -2.3869716713e+02    9.9936994001e-01    9.9462890625e-01
         2   -2.3870530895e+02    1.3927768282e+00    2.0469735820e+03    2.0470000000e+03    2.8645833333e-02   -2.3870852374e+02    9.9939181462e-01    9.9853444064e-01
         3   -2.3871728597e+02    1.6878163137e+00    2.0520846105e+03    2.0510000000e+03    1.8229166667e-02   -2.3860504769e+02    9.9927814538e-01    9.9707459776e-01
         4   -2.3873806998e+02    1.2917575190e+00    2.0440234187e+03    2.0480000000e+03    1.5625000000e-02   -2.3911577646e+02    9.9926209293e-01    9.9658203125e-01
         5   -2.3875201733e+02    1.3286528481e+00    2.0470732039e+03    2.0430000000e+03    1.5625000000e-02   -2.3834935446e+02    9.9928464549e-01    9.9951052374e-01
         6   -2.3874378596e+02    1.2986301023e+00    2.0478706221e+03    2.0470000000e+03    1.3020833333e-02   -2.3866148941e+02    9.9935235197e-01    9.9755740107e-01
         7   -2.3873965105e+02    1.3174377457e+00    2.0461039062e+03    2.0460000000e+03    1.3020833333e-02   -2.3873115100e+02    9.9914473841e-01    9.9853372434e-01
         8   -2.3875303091e+02    1.3287509898e+00    2.0479514245e+03    2.0460000000e+03    7.8125000000e-03   -2.3855439987e+02    9.9919905944e-01    9.9951124145e-01
         9   -2.3876005318e+02    1.2861344075e+00    2.0530856605e+03    2.0530000000e+03    2.0833333333e-02   -2.3874828716e+02    9.9933999750e-01    9.9707744764e-01
        10   -2.3877347976e+02    1.3564444391e+00    2.0489910556e+03    2.0540000000e+03    1.8229166667e-02   -2.3925608409e+02    9.9916112006e-01    9.9805258033e-01
        11   -2.3876372224e+02    1.3475274557e+00    2.0519568111e+03    2.0530000000e+03    1.0416666667e-02   -2.3887023912e+02    9.9911064974e-01    9.9805163176e-01
        12   -2.3875491607e+02    1.3269159398e+00    2.0469862422e+03    2.0510000000e+03    1.0416666667e-02   -2.3914975678e+02    9.9935314061e-01    9.9804973184e-01
        13   -2.3874586039e+02    1.3802240043e+00    2.0489488568e+03    2.0480000000e+03    1.0416666667e-02   -2.3865589178e+02    9.9914911860e-01    9.9707031250e-01
        14   -2.3877256189e+02    1.3361903692e+00    2.0461960428e+03    2.0470000000e+03    1.5625000000e-02   -2.3883850073e+02    9.9928723843e-01    9.9706888129e-01
        15   -2.3877430525e+02    1.4325469807e+00    2.0428051026e+03    2.0410000000e+03    1.3020833333e-02   -2.3859631656e+02    9.9917879455e-01    9.9559039686e-01
        16   -2.3878434909e+02    1.4538161401e+00    2.0462700665e+03    2.0410000000e+03    2.0833333333e-02   -2.3826634654e+02    9.9915397792e-01    9.9902008819e-01
        17   -2.3880591528e+02    1.3617438857e+00    2.0438472084e+03    2.0420000000e+03    7.8125000000e-03   -2.3861533888e+02    9.9929227825e-01    9.9706170421e-01
        18   -2.3880721580e+02    1.3883981391e+00    2.0441493936e+03    2.0400000000e+03    1.5625000000e-02   -2.3839995750e+02    9.9921266146e-01    1.0000000000e+00
        19   -2.3879952423e+02    1.4446391018e+00    2.0578334909e+03    2.0540000000e+03    3.6458333333e-02   -2.3843082607e+02    9.9917652358e-01    9.9659201558e-01
        20   -2.3881985094e+02    1.3982151832e+00    2.0423191928e+03    2.0520000000e+03    1.8229166667e-02   -2.3975752797e+02    9.9929706038e-01    9.9415204678e-01
        21   -2.3882997066e+02    1.3614538475e+00    2.0487493556e+03    2.0430000000e+03    3.1250000000e-02   -2.3826431377e+02    9.9926446709e-01    9.9951052374e-01
        22   -2.3883377834e+02    1.3691808937e+00    2.0462626904e+03    2.0470000000e+03    1.3020833333e-02   -2.3890313653e+02    9.9918337964e-01    9.9658036150e-01
        23   -2.3883911362e+02    1.2985158928e+00    2.0437547643e+03    2.0420000000e+03    1.5625000000e-02   -2.3866404721e+02    9.9937991130e-01    9.9755142018e-01
        24   -2.3886048260e+02    1.3061189613e+00    2.0503858266e+03    2.0460000000e+03    2.3437500000e-02   -2.3842410954e+02    9.9922800464e-01    9.9853372434e-01
        25   -2.3887176042e+02    1.3224688390e+00    2.0506787256e+03    2.0530000000e+03    2.6041666667e-02   -2.3909333787e+02    9.9929559935e-01    9.9756453970e-01
        26   -2.3887752779e+02    1.3707532348e+00    2.0473598214e+03    2.0500000000e+03    1.3020833333e-02   -2.3913318379e+02    9.9924709864e-01    9.9902439024e-01
        27   -2.3888897550e+02    1.3528305577e+00    2.0526923026e+03    2.0520000000e+03    1.0416666667e-02   -2.3881500057e+02    9.9912960348e-01    9.9853801170e-01
