#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3871707933e+02    5.6987158426e+04   -3.2925561682e+02    9.0538537485e+01   -1.6280439987e+03    3.1036719930e+01    7.0682473423e+02    5.6092692771e+02    7.0688568553e+02    4.0960000000e+04    4.3567651750e+00    8.9859497070e-01
         1   -2.3872847947e+02    5.6992604758e+04   -3.2924852599e+02    9.0520046521e+01   -1.6278689921e+03    3.1085570331e+01    7.0660796808e+02    5.6092692771e+02    7.0666701387e+02    4.0960000000e+04    4.3579081770e+00    8.9854261610e-01
         2   -2.3871818624e+02    5.6987722126e+04   -3.2916090986e+02    9.0442723619e+01   -1.6275088275e+03    3.1109307803e+01    7.0631168210e+02    5.6092692771e+02    7.0637662185e+02    4.0960000000e+04    4.3875609220e+00    8.9858873155e-01
         3   -2.3873108335e+02    5.6993884209e+04   -3.2923359349e+02    9.0502510140e+01   -1.6278842422e+03    3.1193322761e+01    7.0653039826e+02    5.6092692771e+02    7.0659318059e+02    4.0960000000e+04    4.3843820990e+00    8.9864040799e-01
         4   -2.3873213901e+02    5.6994344191e+04   -3.2922890488e+02    9.0496765869e+01   -1.6275660977e+03    3.1087537435e+01    7.0632272767e+02    5.6092692771e+02    7.0638609019e+02    4.0960000000e+04    4.3441767850e+00    8.9840169271e-01
         5   -2.3871330100e+02    5.6985381588e+04   -3.2918458831e+02    9.0471287313e+01   -1.6276408125e+03    3.1093034040e+01    7.0643626240e+02    5.6092692771e+02    7.0649981738e+02    4.0960000000e+04    4.3484805970e+00    8.9848985460e-01
         6   -2.3873380358e+02    5.6995169814e+04   -3.2920153892e+02    9.0467735345e+01   -1.6279036700e+03    3.1101687495e+01    7.0667351591e+02    5.6092692771e+02    7.0673664406e+02    4.0960000000e+04    4.3417712620e+00    8.9830200195e-01
         7   -2.3872081895e+02    5.6988960178e+04   -3.2916841967e+02    9.0447600722e+01   -1.6275103120e+03    3.1073384673e+01    7.0634157996e+02    5.6092692771e+02    7.0640345444e+02    4.0960000000e+04    4.3515771760e+00    8.9865044488e-01
         8   -2.3872252517e+02    5.6989781619e+04   -3.2910038395e+02    9.0377858777e+01   -1.6272745986e+03    3.0862772354e+01    7.0638451456e+02    5.6092692771e+02    7.0644815588e+02    4.0960000000e+04    4.3463830330e+00    8.9852715386e-01
         9   -2.3872283976e+02    5.6989914103e+04   -3.2930089502e+02    9.0578055258e+01   -1.6279608347e+03    3.1151622606e+01    7.0658138933e+02    5.6092692771e+02    7.0664045519e+02    4.0960000000e+04    4.3725044720e+00    8.9864963108e-01
        10   -2.3870854045e+02    5.6983098234e+04   -3.2921310681e+02    9.0504566360e+01   -1.6279718584e+03    3.1155193464e+01    7.0667663046e+02    5.6092692771e+02    7.0673991303e+02    4.0960000000e+04    4.3458212400e+00    8.9863986545e-01
        11   -2.3872111389e+02    5.6989087321e+04   -3.2921487092e+02    9.0493757032e+01   -1.6279621790e+03    3.0994564414e+01    7.0682581599e+02    5.6092692771e+02    7.0688895313e+02    4.0960000000e+04    4.3516644330e+00    8.9849229601e-01
        12   -2.3872041114e+02    5.6988757268e+04   -3.2916254284e+02    9.0442131705e+01   -1.6276194273e+03    3.1110346672e+01    7.0641961013e+02    5.6092692771e+02    7.0648135363e+02    4.0960000000e+04    4.3428912310e+00    8.9861979167e-01
        13   -2.3872157736e+02    5.6989292245e+04   -3.2924513832e+02    9.0523560966e+01   -1.6277295332e+03    3.1064007145e+01    7.0649346005e+02    5.6092692771e+02    7.0655725574e+02    4.0960000000e+04    4.3541856870e+00    8.9849880642e-01
        14   -2.3872555888e+02    5.6991217563e+04   -3.2912638782e+02    9.0400828933e+01   -1.6273777328e+03    3.0978425894e+01    7.0634599136e+02    5.6092692771e+02    7.0640540341e+02    4.0960000000e+04    4.3525632030e+00    8.9863281250e-01
        15   -2.3870769226e+02    5.6982690409e+04   -3.2920402134e+02    9.0496329088e+01   -1.6275978137e+03    3.1011287135e+01    7.0645557750e+02    5.6092692771e+02    7.0651805656e+02    4.0960000000e+04    4.3204945460e+00    8.9855278863e-01
        16   -2.3870943639e+02    5.6983510191e+04   -3.2918315659e+02    9.0473720204e+01   -1.6278633298e+03    3.1125912809e+01    7.0662733268e+02    5.6092692771e+02    7.0669135997e+02    4.0960000000e+04    4.3412867460e+00    8.9846733941e-01
        17   -2.3871058449e+02    5.6984054712e+04   -3.2922584182e+02    9.0515257332e+01   -1.6279869049e+03    3.1100129131e+01    7.0673400625e+02    5.6092692771e+02    7.0679758477e+02    4.0960000000e+04    4.3618294350e+00    8.9847208659e-01
        18   -2.3872552471e+02    5.6991211701e+04   -3.2922747325e+02    9.0501948538e+01   -1.6280736441e+03    3.1171023887e+01    7.0674821928e+02    5.6092692771e+02    7.0681113790e+02    4.0960000000e+04    4.3606753480e+00    8.9845581055e-01
        19   -2.3871857876e+02    5.6987878326e+04   -3.2914310499e+02    9.0424526233e+01   -1.6276781061e+03    3.1014390463e+01    7.0659368297e+02    5.6092692771e+02    7.0665562658e+02    4.0960000000e+04    4.3673315560e+00    8.9851223416e-01
