# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.3872111420e+02    1.3357389053e+00    2.0480819122e+03    2.0480000000e+03    0.0000000000e+00   -2.3870511547e+02    9.9929480449e-01    1.0000000000e+00
         1   -2.3871666665e+02    1.2401674551e+00    2.0480723141e+03    2.0480000000e+03    3.3333333333e-01   -2.3872911328e+02    9.9924713817e-01    9.9511718750e-01
         2   -2.3872042981e+02    1.2798162066e+00    2.0459549965e+03    2.0460000000e+03    2.6041666667e-02   -2.3872372845e+02    9.9929801230e-01    9.9755620723e-01
         3   -2.3872888223e+02    1.3155184170e+00    2.0460851235e+03    2.0440000000e+03    1.3020833333e-02   -2.3852062267e+02    9.9938056974e-01    9.9804305284e-01
         4   -2.3872199781e+02    1.2354470626e+00    2.0428631527e+03    2.0410000000e+03    1.0416666667e-02   -2.3854179509e+02    9.9925512211e-01    9.9853013229e-01
         5   -2.3871301276e+02    1.2634866850e+00    2.0440604081e+03    2.0390000000e+03    7.8125000000e-03   -2.3821972239e+02    9.9934310565e-01    9.9852869053e-01
         6   -2.3872302916e+02    1.3421473478e+00    2.0439775692e+03    2.0400000000e+03    1.0416666667e-02   -2.3832791648e+02    9.9939165620e-01    9.9754901961e-01
         7   -2.3874046620e+02    1.2968037117e+00    2.0440980615e+03    2.0400000000e+03    1.3020833333e-02   -2.3832982739e+02    9.9921654718e-01    9.9901960784e-01
         8   -2.3874731790e+02    1.2781912711e+00    2.0519347575e+03    2.0480000000e+03    2.6041666667e-02   -2.3835905407e+02    9.9916992994e-01    9.9707031250e-01
         9   -2.3874348259e+02    1.2814915355e+00    2.0420635654e+03    2.0460000000e+03    1.5625000000e-02   -2.3913120291e+02    9.9930047407e-01    9.9853372434e-01
        10   -2.3871815392e+02    1.3080256622e+00    2.0517989151e+03    2.0460000000e+03    7.8125000000e-03   -2.3816291080e+02    9.9924293987e-01    9.9804496579e-01
        11   -2.3873915467e+02    1.2846754854e+00    2.0433238363e+03    2.0470000000e+03    1.3020833333e-02   -2.3908879807e+02    9.9934455608e-01    9.9609184172e-01
        12   -2.3875552305e+02    1.2493260246e+00    2.0467683701e+03    2.0420000000e+03    1.8229166667e-02   -2.3828197592e+02    9.9934521484e-01    9.9853085211e-01
        13   -2.3876317733e+02    1.2717352989e+00    2.0492812420e+03    2.0480000000e+03    2.3437500000e-02   -2.3863521051e+02    9.9938920594e-01    9.9707031250e-01
        14   -2.3877992603e+02    1.2929911816e+00    2.0458121079e+03    2.0470000000e+03    1.5625000000e-02   -2.3888825950e+02    9.9919812060e-01    9.9706888129e-01
        15   -2.3877002137e+02    1.2777874378e+00    2.0451267595e+03    2.0430000000e+03    1.5625000000e-02   -2.3856615048e+02    9.9925447535e-01    9.9853157122e-01
        16   -2.3876982831e+02    1.2734062961e+00    2.0498745059e+03    2.0470000000e+03    1.8229166667e-02   -2.3848923446e+02    9.9930148839e-01    9.9658036150e-01
        17   -2.3878874288e+02    1.3188727559e+00    2.0392311570e+03    2.0410000000e+03    1.8229166667e-02   -2.3895280180e+02    9.9923260911e-01    9.9902008819e-01
        18   -2.3879342725e+02    1.2917976436e+00    2.0487687953e+03    2.0400000000e+03    5.2083333333e-03   -2.3793057204e+02    9.9930297076e-01    9.9901960784e-01
        19   -2.3880734395e+02    1.2575389185e+00    2.0483116657e+03    2.0490000000e+03    2.8645833333e-02   -2.3886849082e+02    9.9921154531e-01    9.9609565642e-01
        20   -2.3881482345e+02    1.2833011005e+00    2.0437399043e+03    2.0440000000e+03    2.0833333333e-02   -2.3883777773e+02    9.9927768801e-01    9.9902152642e-01
        21   -2.3880831539e+02    1.4057227001e+00    2.0512203614e+03    2.0470000000e+03    1.3020833333e-02   -2.3839836518e+02    9.9921667956e-01    9.9853444064e-01
        22   -2.3879464880e+02    1.3016804486e+00    2.0437093251e+03    2.0470000000e+03    7.8125000000e-03   -2.3912255681e+02    9.9932380896e-01    9.9853444064e-01
        23   -2.3880377532e+02    1.2768103255e+00    2.0503248569e+03    2.0460000000e+03    7.8125000000e-03   -2.3837519804e+02    9.9934915621e-01    9.9951124145e-01
        24   -2.3879913879e+02    1.2502099095e+00    2.0506417449e+03    2.0530000000e+03    2.0833333333e-02   -2.3903068337e+02    9.9924169350e-01    9.9902581588e-01
        25   -2.3880132477e+02    1.2886816192e+00    2.0513462109e+03    2.0540000000e+03    7.8125000000e-03   -2.3905695544e+02    9.9923773690e-01    9.9659201558e-01
        26   -2.3881948903e+02    1.2850201597e+00    2.0447597489e+03    2.0480000000e+03    1.8229166667e-02   -2.3912783651e+02    9.9921803193e-01    9.9609375000e-01
        27   -2.3879641337e+02    2.0924417231e+00    2.0461187653e+03    2.0430000000e+03    2.0833333333e-02   -2.3850280768e+02    9.9933739860e-01    9.9902104748e-01
